COMID,CAT_LSTFZ6190,NODATA,ACC_LSTFZ6190,ACC_NODATA,TOT_LSTFZ6190,TOT_NODATA,filename
3917070,179.17,0,179.17,0,179.17,0,LSTFZ6190_CONUS.zip
3917072,174,0,174,0,174,0,LSTFZ6190_CONUS.zip
3917082,182.09,0,182.09,0,182.09,0,LSTFZ6190_CONUS.zip
3917084,183.07,0,183.07,0,183.07,0,LSTFZ6190_CONUS.zip
3917106,179.73,0,181.74,0,181.74,0,LSTFZ6190_CONUS.zip
3917114,176.9,0,176.9,0,176.9,0,LSTFZ6190_CONUS.zip
3917130,177.14,0,178.57,0,178.57,0,LSTFZ6190_CONUS.zip
3917136,179.95,0,179.95,0,179.95,0,LSTFZ6190_CONUS.zip
3917138,180,0,180,0,180,0,LSTFZ6190_CONUS.zip
3917154,176.14,0,176.67,0,176.67,0,LSTFZ6190_CONUS.zip
3917156,166,0,166,0,166,0,LSTFZ6190_CONUS.zip
3917158,153.77,0,153.77,0,153.77,0,LSTFZ6190_CONUS.zip
3917160,153.55,0,153.55,0,153.55,0,LSTFZ6190_CONUS.zip
3917162,173,0,178.06,0,178.06,0,LSTFZ6190_CONUS.zip
3917164,159.67,0,159.67,0,159.67,0,LSTFZ6190_CONUS.zip
3917172,166.34,0,166.34,0,166.34,0,LSTFZ6190_CONUS.zip
3917176,163.53,0,175.42,0,175.42,0,LSTFZ6190_CONUS.zip
3917178,167.55,0,176.61,0,176.61,0,LSTFZ6190_CONUS.zip
3917194,177.02,0,177.02,0,177.02,0,LSTFZ6190_CONUS.zip
3917198,149.55,0,171.44,0,171.44,0,LSTFZ6190_CONUS.zip
3917200,149.01,0,169.98,0,169.98,0,LSTFZ6190_CONUS.zip
3917212,159.93,0,159.93,0,159.93,0,LSTFZ6190_CONUS.zip
3917214,153.65,0,153.65,0,153.65,0,LSTFZ6190_CONUS.zip
3917218,149.62,0,158.32,0,158.32,0,LSTFZ6190_CONUS.zip
3917220,149,0,157.69,0,157.69,0,LSTFZ6190_CONUS.zip
3917228,149.22,0,149.22,0,149.22,0,LSTFZ6190_CONUS.zip
3917230,140.06,0,140.06,0,140.06,0,LSTFZ6190_CONUS.zip
3917244,142.18,0,159.85,0,158.73,0,LSTFZ6190_CONUS.zip
3917250,161.73,0,161.73,0,161.73,0,LSTFZ6190_CONUS.zip
3917256,151.27,0,164.41,0,164.41,0,LSTFZ6190_CONUS.zip
3917268,149,0,163.78,0,163.78,0,LSTFZ6190_CONUS.zip
3917272,158.14,0,167.31,0,167.31,0,LSTFZ6190_CONUS.zip
3917274,151.93,0,151.93,0,151.93,0,LSTFZ6190_CONUS.zip
3917276,159.57,0,165.34,0,165.34,0,LSTFZ6190_CONUS.zip
3917278,154.05,0,163.21,0,163.21,0,LSTFZ6190_CONUS.zip
3917280,148.88,0,159.31,0,159.31,0,LSTFZ6190_CONUS.zip
3917282,151.33,0,161.44,0,161.44,0,LSTFZ6190_CONUS.zip
3917284,148.8,0,160.28,0,160.28,0,LSTFZ6190_CONUS.zip
3917286,147.18,0,147.18,0,147.18,0,LSTFZ6190_CONUS.zip
3917912,170.22,0,177.51,0,177.51,0,LSTFZ6190_CONUS.zip
3917914,175.74,0,176.39,0,176.39,0,LSTFZ6190_CONUS.zip
3917916,176.95,0,176.81,0,176.81,0,LSTFZ6190_CONUS.zip
3917918,157.29,0,172.77,0,172.77,0,LSTFZ6190_CONUS.zip
3917920,150.31,0,152.79,0,152.79,0,LSTFZ6190_CONUS.zip
3917922,148.96,0,148.96,0,148.96,0,LSTFZ6190_CONUS.zip
3917946,138.74,0,159.39,0,158.41,0,LSTFZ6190_CONUS.zip
3917948,147.44,0,169.56,0,169.56,0,LSTFZ6190_CONUS.zip
3917950,143.73,0,160.17,0,158.95,0,LSTFZ6190_CONUS.zip
3917956,171.76,0,171.76,0,171.76,0,LSTFZ6190_CONUS.zip
3917958,169.35,0,169.35,0,169.35,0,LSTFZ6190_CONUS.zip
3917960,166.42,0,166.42,0,166.42,0,LSTFZ6190_CONUS.zip
948010089,149.14,0,148.98,0,148.98,0,LSTFZ6190_CONUS.zip
