COMID,CAT_LSTFZ6190,NODATA,ACC_LSTFZ6190,ACC_NODATA,TOT_LSTFZ6190,TOT_NODATA,filename
3917070,179.17,0,179.17,0,179.17,0,LSTFZ6190_CONUS.zip
3917072,174,0,174,0,174,0,LSTFZ6190_CONUS.zip
3917082,182.09,0,182.09,0,182.09,0,LSTFZ6190_CONUS.zip
3917084,183.07,0,183.07,0,183.07,0,LSTFZ6190_CONUS.zip
3917100,147.21,0,147.21,0,147.21,0,LSTFZ6190_CONUS.zip
3917106,179.73,0,181.74,0,181.74,0,LSTFZ6190_CONUS.zip
3917114,176.9,0,176.9,0,176.9,0,LSTFZ6190_CONUS.zip
3917130,177.14,0,178.57,0,178.57,0,LSTFZ6190_CONUS.zip
3917136,179.95,0,179.95,0,179.95,0,LSTFZ6190_CONUS.zip
3917138,180,0,180,0,180,0,LSTFZ6190_CONUS.zip
3917154,176.14,0,176.67,0,176.67,0,LSTFZ6190_CONUS.zip
3917156,166,0,166,0,166,0,LSTFZ6190_CONUS.zip
3917158,153.77,0,153.77,0,153.77,0,LSTFZ6190_CONUS.zip
3917160,153.55,0,153.55,0,153.55,0,LSTFZ6190_CONUS.zip
3917162,173,0,178.06,0,178.06,0,LSTFZ6190_CONUS.zip
3917164,159.67,0,159.67,0,159.67,0,LSTFZ6190_CONUS.zip
3917172,166.34,0,166.34,0,166.34,0,LSTFZ6190_CONUS.zip
3917176,163.53,0,175.42,0,175.42,0,LSTFZ6190_CONUS.zip
3917178,167.55,0,176.61,0,176.61,0,LSTFZ6190_CONUS.zip
3917194,177.02,0,177.02,0,177.02,0,LSTFZ6190_CONUS.zip
3917198,149.55,0,171.44,0,171.44,0,LSTFZ6190_CONUS.zip
3917200,149.01,0,169.98,0,169.98,0,LSTFZ6190_CONUS.zip
3917222,149.94,0,149.94,0,149.94,0,LSTFZ6190_CONUS.zip
3917230,140.06,0,140.06,0,140.06,0,LSTFZ6190_CONUS.zip
3917244,142.18,0,159.85,0,158.73,0,LSTFZ6190_CONUS.zip
3917266,146.37,0,157.5,0,156.9,0,LSTFZ6190_CONUS.zip
3917912,170.22,0,177.51,0,177.51,0,LSTFZ6190_CONUS.zip
3917914,175.74,0,176.39,0,176.39,0,LSTFZ6190_CONUS.zip
3917916,176.95,0,176.81,0,176.81,0,LSTFZ6190_CONUS.zip
3917918,157.29,0,172.77,0,172.77,0,LSTFZ6190_CONUS.zip
3917920,150.31,0,152.79,0,152.79,0,LSTFZ6190_CONUS.zip
3917922,148.96,0,148.96,0,148.96,0,LSTFZ6190_CONUS.zip
3917924,147.06,0,147.09,0,147.09,0,LSTFZ6190_CONUS.zip
3917926,145.15,0,145.15,0,145.15,0,LSTFZ6190_CONUS.zip
3917946,138.74,0,159.39,0,158.41,0,LSTFZ6190_CONUS.zip
3917948,147.44,0,169.56,0,169.56,0,LSTFZ6190_CONUS.zip
3917950,143.73,0,160.17,0,158.95,0,LSTFZ6190_CONUS.zip
948010046,145.99,0,146.53,0,168.24,0,LSTFZ6190_CONUS.zip
948010047,146,0,146.54,0,168.26,0,LSTFZ6190_CONUS.zip
948010048,146,0,146.55,0,168.29,0,LSTFZ6190_CONUS.zip
948010089,149.14,0,148.98,0,148.98,0,LSTFZ6190_CONUS.zip
948010091,146.66,0,146.76,0,169.58,0,LSTFZ6190_CONUS.zip
948010092,147.61,0,147.61,0,169.94,0,LSTFZ6190_CONUS.zip
948010095,144.52,0,145.9,0,158.92,0,LSTFZ6190_CONUS.zip
948010096,145.83,0,145.83,0,159.19,0,LSTFZ6190_CONUS.zip
