COMID,CAT_RUN_JAN1967,CAT_RUN_FEB1967,CAT_RUN_MAR1967,CAT_RUN_APR1967,CAT_RUN_MAY1967,CAT_RUN_JUN1967,CAT_RUN_JUL1967,CAT_RUN_AUG1967,CAT_RUN_SEP1967,CAT_RUN_OCT1967,CAT_RUN_NOV1967,CAT_RUN_DEC1967,filename
3917070,91.12,57.41,81.48,72.99,58.46,30.3,13.85,6.94,4.15,4.82,2.47,0.54,RUN1967_CAT_CONUS.zip
3917072,91.37,53.34,82.17,75.54,51.65,26.96,12.2,6.12,3.74,4.54,2.35,0.52,RUN1967_CAT_CONUS.zip
3917082,86.97,64.96,76.28,61.82,68.36,36.85,16.49,8.27,4.59,4.78,2.24,0.51,RUN1967_CAT_CONUS.zip
3917084,88.34,66.75,74.59,58.64,73.1,38.53,17.55,8.8,4.97,5.1,2.35,0.55,RUN1967_CAT_CONUS.zip
3917106,86.19,59.02,73.4,60.88,58.59,31.78,14.07,7.05,4.01,4.41,2.1,0.45,RUN1967_CAT_CONUS.zip
3917114,84.26,53.55,67.12,56.98,54.1,28.45,12.87,6.46,3.83,4.38,2.21,0.47,RUN1967_CAT_CONUS.zip
3917130,85.59,49.26,69.99,59.44,44.52,24.1,10.61,5.32,3.29,3.98,2.03,0.4,RUN1967_CAT_CONUS.zip
3917136,85.39,52.14,67.22,58.24,46.5,25.6,11.05,5.54,3.26,3.89,1.88,0.35,RUN1967_CAT_CONUS.zip
3917138,84.59,41.54,58.7,53.54,29.17,16.4,6.69,3.36,2.27,3.26,1.62,0.23,RUN1967_CAT_CONUS.zip
3917154,88.59,53.68,76.23,68.05,53.07,27.77,12.57,6.3,3.8,4.49,2.3,0.5,RUN1967_CAT_CONUS.zip
3917156,84.31,44.6,67.48,63.99,38.17,20.22,8.95,4.49,2.84,3.83,2.09,0.42,RUN1967_CAT_CONUS.zip
3917158,43.94,20.99,12.16,9.45,5.24,3.95,1.05,0.52,0.7,2.55,0.92,0.3,RUN1967_CAT_CONUS.zip
3917160,51.45,24.69,17.51,14.58,8.03,5.31,1.69,0.83,0.87,2.69,1.01,0.37,RUN1967_CAT_CONUS.zip
3917162,83.95,45.2,68.06,60.81,37.39,20.71,9.06,4.56,2.86,3.65,2.12,0.39,RUN1967_CAT_CONUS.zip
3917164,72.86,35.37,37.48,41.08,21.88,11.67,4.91,2.45,1.73,3.27,1.3,0.36,RUN1967_CAT_CONUS.zip
3917172,80.78,43.35,57.4,56.46,35.45,18.64,8.24,4.13,2.64,3.83,1.78,0.44,RUN1967_CAT_CONUS.zip
3917176,78.94,55.82,64.46,58.18,48.31,25.28,11.65,5.87,3.43,3.92,2.44,0.62,RUN1967_CAT_CONUS.zip
3917178,81.86,51.35,65.89,59.55,46.34,25.51,11.67,5.88,3.43,3.94,2.54,0.52,RUN1967_CAT_CONUS.zip
3917194,100.62,71.96,91.24,77.09,76.88,41.76,19.46,9.81,5.29,4.86,3.3,0.62,RUN1967_CAT_CONUS.zip
3917198,41.07,19.52,11.46,8.3,4.66,3.75,0.9,0.44,0.65,2.5,0.88,0.4,RUN1967_CAT_CONUS.zip
3917200,32.13,15.09,9.28,6.03,3.5,3.18,0.62,0.3,0.56,2.34,0.8,0.48,RUN1967_CAT_CONUS.zip
3917212,77.13,51.84,53.48,47.39,39.75,21.03,9.51,4.79,2.88,3.68,2.09,0.6,RUN1967_CAT_CONUS.zip
3917214,51.6,24.76,17.44,15.44,8.38,5.51,1.77,0.88,0.87,2.54,1.02,0.51,RUN1967_CAT_CONUS.zip
3917218,45.41,21.67,13.2,10.97,6.03,4.37,1.21,0.6,0.72,2.44,0.95,0.48,RUN1967_CAT_CONUS.zip
3917220,45.76,21.84,13.45,11.33,6.22,4.48,1.26,0.63,0.73,2.42,0.96,0.53,RUN1967_CAT_CONUS.zip
3917228,45.76,21.84,13.45,11.33,6.22,4.48,1.26,0.63,0.73,2.42,0.96,0.53,RUN1967_CAT_CONUS.zip
3917230,19.44,8.66,5.46,3.02,2.12,2.61,0.31,0.13,0.45,2.35,0.65,0.5,RUN1967_CAT_CONUS.zip
3917244,22.08,10.02,6.19,3.49,2.3,2.66,0.35,0.15,0.47,2.34,0.64,0.49,RUN1967_CAT_CONUS.zip
3917250,85.8,60.03,63.49,55.85,48.2,25.25,11.59,5.84,3.42,3.97,2.39,0.67,RUN1967_CAT_CONUS.zip
3917256,45.76,21.84,13.45,11.33,6.22,4.48,1.26,0.63,0.73,2.42,0.96,0.53,RUN1967_CAT_CONUS.zip
3917268,45.76,21.84,13.45,11.33,6.22,4.48,1.26,0.63,0.73,2.42,0.96,0.53,RUN1967_CAT_CONUS.zip
3917272,76.24,45.79,45.14,40.62,30.5,16.42,7.19,3.62,2.3,3.41,1.76,0.56,RUN1967_CAT_CONUS.zip
3917274,45.39,21.68,14.38,12.11,6.64,4.64,1.35,0.67,0.74,2.39,0.97,0.51,RUN1967_CAT_CONUS.zip
3917276,80.33,42.56,46.9,42.36,26.51,14.47,6.1,3.07,2.08,3.27,2.36,0.57,RUN1967_CAT_CONUS.zip
3917278,65.71,31.86,29.41,26.92,14.46,8.47,3.19,1.6,1.28,2.84,1.51,0.51,RUN1967_CAT_CONUS.zip
3917280,45.48,21.72,14.15,11.92,6.54,4.6,1.33,0.66,0.74,2.4,0.96,0.52,RUN1967_CAT_CONUS.zip
3917282,58.28,28.22,27.43,24.33,13.13,7.77,2.87,1.43,1.18,2.64,1.53,0.51,RUN1967_CAT_CONUS.zip
3917284,44.08,21.15,17.72,14.92,8.17,5.25,1.7,0.85,0.82,2.32,1.02,0.48,RUN1967_CAT_CONUS.zip
3917286,44.14,21.17,17.54,14.77,8.09,5.21,1.68,0.84,0.81,2.32,1.01,0.48,RUN1967_CAT_CONUS.zip
3917912,81.69,42.45,64.72,61.03,35.32,18.96,8.33,4.18,2.67,3.64,2.11,0.4,RUN1967_CAT_CONUS.zip
3917914,82.09,40.69,58.82,58.68,32.23,17.98,7.39,3.7,2.25,3.08,1.5,0.25,RUN1967_CAT_CONUS.zip
3917916,88.58,51.14,70.5,61.45,43.56,24.44,10.77,5.42,3.28,3.83,2.2,0.38,RUN1967_CAT_CONUS.zip
3917918,59.07,35.06,33.58,30.23,22.68,12.53,5.33,2.68,1.8,3.11,1.51,0.44,RUN1967_CAT_CONUS.zip
3917920,43.45,20.74,12,9.18,5.1,3.9,1.01,0.5,0.69,2.54,0.91,0.3,RUN1967_CAT_CONUS.zip
3917922,38.09,18,10.25,5.92,3.49,3.28,0.63,0.29,0.58,2.55,0.83,0.41,RUN1967_CAT_CONUS.zip
3917946,21.43,9.63,5.96,3.44,2.16,2.66,0.34,0.15,0.46,2.26,0.92,0.52,RUN1967_CAT_CONUS.zip
3917948,29.06,13.57,8.39,4.96,2.95,2.91,0.49,0.23,0.52,2.31,0.77,0.47,RUN1967_CAT_CONUS.zip
3917950,25.23,11.66,7.25,4.1,2.55,2.75,0.4,0.18,0.49,2.33,0.71,0.48,RUN1967_CAT_CONUS.zip
3917956,116.49,112.74,126.83,105.39,122.03,64.24,30.93,15.6,8.28,6.41,4.96,1.08,RUN1967_CAT_CONUS.zip
3917958,115.77,110.95,123.76,103.62,126.82,64.65,31.15,15.7,8.29,6.45,4.77,1.03,RUN1967_CAT_CONUS.zip
3917960,110.46,101.75,111.3,93.07,119.1,60.82,29.22,14.72,7.76,6.23,4.45,0.95,RUN1967_CAT_CONUS.zip
948010089,35.92,16.92,9.69,5.41,3.2,3.16,0.56,0.26,0.56,2.52,0.81,0.43,RUN1967_CAT_CONUS.zip
