COMID,CAT_ET,NODATA,ACC_ET,ACC_NODATA,TOT_ET,TOT_NODATA,filename
3917070,461,0,461,0,461,0,ET_CONUS.zip
3917072,503,0,503,0,503,0,ET_CONUS.zip
3917082,484,0,484,0,484,0,ET_CONUS.zip
3917084,494,0,494,0,494,0,ET_CONUS.zip
3917100,465,0,465,0,465,0,ET_CONUS.zip
3917106,488,0,491,0,491,0,ET_CONUS.zip
3917114,495,0,495,0,495,0,ET_CONUS.zip
3917130,500,0,480,0,480,0,ET_CONUS.zip
3917136,464,0,464,0,464,0,ET_CONUS.zip
3917138,445,0,445,0,445,0,ET_CONUS.zip
3917154,504,0,496,0,496,0,ET_CONUS.zip
3917156,486,0,486,0,486,0,ET_CONUS.zip
3917158,503,0,503,0,503,0,ET_CONUS.zip
3917160,519,0,519,0,519,0,ET_CONUS.zip
3917162,485,0,480,0,480,0,ET_CONUS.zip
3917164,501,0,501,0,501,0,ET_CONUS.zip
3917172,466,0,466,0,466,0,ET_CONUS.zip
3917176,492,0,483,0,483,0,ET_CONUS.zip
3917178,506,0,484,0,484,0,ET_CONUS.zip
3917194,467,0,467,0,467,0,ET_CONUS.zip
3917198,455,0,488,0,488,0,ET_CONUS.zip
3917200,450,0,488,0,488,0,ET_CONUS.zip
3917222,477,0,477,0,477,0,ET_CONUS.zip
3917230,463,0,463,0,463,0,ET_CONUS.zip
3917244,451,0,494,0,510,0,ET_CONUS.zip
3917266,460,0,499,0,516,0,ET_CONUS.zip
3917912,487,0,482,0,482,0,ET_CONUS.zip
3917914,455,0,456,0,456,0,ET_CONUS.zip
3917916,484,0,468,0,468,0,ET_CONUS.zip
3917918,510,0,486,0,486,0,ET_CONUS.zip
3917920,508,0,513,0,513,0,ET_CONUS.zip
3917922,496,0,496,0,496,0,ET_CONUS.zip
3917924,482,0,479,0,479,0,ET_CONUS.zip
3917926,477,0,477,0,477,0,ET_CONUS.zip
3917946,450,0,494,0,509,0,ET_CONUS.zip
3917948,436,0,487,0,487,0,ET_CONUS.zip
3917950,475,0,495,0,510,0,ET_CONUS.zip
948010046,497,0,467,0,487,0,ET_CONUS.zip
948010047,497,0,466,0,487,0,ET_CONUS.zip
948010048,497,0,466,0,486,0,ET_CONUS.zip
948010089,415,0,488,0,488,0,ET_CONUS.zip
948010091,421,0,423,0,487,0,ET_CONUS.zip
948010092,441,0,441,0,488,0,ET_CONUS.zip
948010095,433,0,454,0,510,0,ET_CONUS.zip
948010096,434,0,434,0,511,0,ET_CONUS.zip
