COMID,CAT_BASIN_AREA,CAT_BASIN_SLOPE,CAT_ELEV_MEAN,CAT_ELEV_MIN,CAT_ELEV_MAX,CAT_STREAM_SLOPE,CAT_STREAM_LENGTH,filename
3917070,1.65,27.33,2060.76,1755.53,2383.05,0.16,1.017,BASIN_CHAR_CAT_CONUS.zip
3917072,0.09,22.77,1866.02,1772.7,1939.18,0,0.213,BASIN_CHAR_CAT_CONUS.zip
3917082,1.48,17.18,2060.7,1795.61,2369.93,0.01,0.191,BASIN_CHAR_CAT_CONUS.zip
3917084,15,12.38,1975.96,1797.03,2369.24,0.02,2.416,BASIN_CHAR_CAT_CONUS.zip
3917106,10.2,19.59,1850.99,1476.92,2369.53,0.11,2.904,BASIN_CHAR_CAT_CONUS.zip
3917114,1.99,20.25,1617.72,1342.13,1906.96,0.16,2.184,BASIN_CHAR_CAT_CONUS.zip
3917130,9.17,20.13,1652.54,1345.6,2245.53,0.04,2.954,BASIN_CHAR_CAT_CONUS.zip
3917136,1.79,17.09,1992.28,1739.26,2222.34,0.08,0.5,BASIN_CHAR_CAT_CONUS.zip
3917138,0.12,20.25,1818.09,1729.72,1962.52,0,0.193,BASIN_CHAR_CAT_CONUS.zip
3917154,7.43,22.21,1696.75,1266.04,2342.01,0.11,4.663,BASIN_CHAR_CAT_CONUS.zip
3917156,3.18,26.7,1434.72,1184.12,1783.56,0.14,2.977,BASIN_CHAR_CAT_CONUS.zip
3917158,2.15,19.08,1094.96,974.95,1284.16,0.06,1.754,BASIN_CHAR_CAT_CONUS.zip
3917160,5.35,17.04,1116.54,973.22,1281.78,0.05,3.623,BASIN_CHAR_CAT_CONUS.zip
3917162,7.21,25.21,1688.18,1263.19,2508.86,0.05,1.612,BASIN_CHAR_CAT_CONUS.zip
3917164,9.28,27.96,1245.42,984.64,1659.05,0.06,2.728,BASIN_CHAR_CAT_CONUS.zip
3917172,8.14,30.31,1587.81,1063.56,2378.58,0.11,6.319,BASIN_CHAR_CAT_CONUS.zip
3917176,4.76,22.66,1424.29,986.39,2349.07,0.05,1.684,BASIN_CHAR_CAT_CONUS.zip
3917178,6.21,26.14,1571.19,1064.46,2507.37,0.05,2.227,BASIN_CHAR_CAT_CONUS.zip
3917194,19.25,12.33,1847.81,1581.03,2419.84,0.03,2.404,BASIN_CHAR_CAT_CONUS.zip
3917198,0.31,13.41,907.76,878.13,1012.5,0.02,0.624,BASIN_CHAR_CAT_CONUS.zip
3917200,0.08,2.93,879.18,875.76,895.59,0.01,0.203,BASIN_CHAR_CAT_CONUS.zip
3917230,2.82,1.45,796.83,779.34,832.59,0.01,2.36,BASIN_CHAR_CAT_CONUS.zip
3917244,12.14,1.98,799.35,779.33,933.48,0,4.125,BASIN_CHAR_CAT_CONUS.zip
3917912,5.47,24.36,1535.48,1186.21,2213.64,0.05,1.565,BASIN_CHAR_CAT_CONUS.zip
3917914,10.46,12.15,1760.87,1583.74,2195.76,0.1,1.544,BASIN_CHAR_CAT_CONUS.zip
3917916,9.02,15.98,1766.62,1476.05,2524.2,0.03,3.943,BASIN_CHAR_CAT_CONUS.zip
3917918,13.12,16.07,1149.5,890.08,2293.78,0.02,4.372,BASIN_CHAR_CAT_CONUS.zip
3917920,2.51,16.12,965.21,889.71,1059.81,0.03,2.588,BASIN_CHAR_CAT_CONUS.zip
3917946,12.89,6.6,791.66,753.9,994.92,0,5.585,BASIN_CHAR_CAT_CONUS.zip
3917948,3.19,8.9,873.35,827.79,984.8,0.01,3.394,BASIN_CHAR_CAT_CONUS.zip
3917950,16.8,2.56,817.96,795.33,961.32,0.01,4.534,BASIN_CHAR_CAT_CONUS.zip
