COMID,CAT_TAV_JAN1992,CAT_TAV_FEB1992,CAT_TAV_MAR1992,CAT_TAV_APR1992,CAT_TAV_MAY1992,CAT_TAV_JUN1992,CAT_TAV_JUL1992,CAT_TAV_AUG1992,CAT_TAV_SEP1992,CAT_TAV_OCT1992,CAT_TAV_NOV1992,CAT_TAV_DEC1992,filename
3917070,1.53,6.13,4.73,6.87,13.88,14.75,18.52,18.83,16.42,9.98,1.46,-2.34,TAV1992_CAT_CONUS.zip
3917072,1.59,6.14,4.88,7.06,14.06,14.96,18.71,18.99,16.52,10.13,1.71,-2.2,TAV1992_CAT_CONUS.zip
3917082,1.25,6.28,4.33,6.48,13.63,14.4,18.25,18.55,16.32,9.49,0.73,-2.89,TAV1992_CAT_CONUS.zip
3917084,1.26,6.22,4.11,6.19,13.33,14.06,18,18.29,16.32,9.38,0.67,-2.97,TAV1992_CAT_CONUS.zip
3917100,1.68,5.6,7.75,10.69,16.33,18.04,20.31,21.2,15.99,11.89,4.66,-0.22,TAV1992_CAT_CONUS.zip
3917106,1.36,6.34,4.42,6.59,13.74,14.52,18.4,18.66,16.34,9.62,0.97,-2.72,TAV1992_CAT_CONUS.zip
3917114,1.44,6.15,4.64,6.87,13.74,14.6,18.37,18.71,16.43,9.85,1.6,-2.36,TAV1992_CAT_CONUS.zip
3917130,1.56,6.4,4.55,6.73,13.84,14.61,18.59,18.77,16.37,9.88,1.6,-2.31,TAV1992_CAT_CONUS.zip
3917136,1.5,6.41,4.52,6.7,13.89,14.67,18.55,18.82,16.38,9.72,1.11,-2.62,TAV1992_CAT_CONUS.zip
3917138,1.73,6.53,4.57,6.73,13.98,14.73,18.72,18.92,16.46,9.87,1.41,-2.43,TAV1992_CAT_CONUS.zip
3917154,1.52,6.14,4.77,6.96,13.92,14.8,18.56,18.86,16.48,10.01,1.64,-2.28,TAV1992_CAT_CONUS.zip
3917156,1.59,6.06,5.24,7.6,14.3,15.29,18.85,19.24,16.48,10.34,2.29,-1.85,TAV1992_CAT_CONUS.zip
3917158,1.45,5.32,7.52,10.46,15.97,17.64,19.73,20.82,15.78,11.53,4.3,-0.55,TAV1992_CAT_CONUS.zip
3917160,1.48,5.49,7.18,9.97,15.69,17.21,19.56,20.55,15.79,11.39,4.01,-0.7,TAV1992_CAT_CONUS.zip
3917162,1.64,6.31,4.96,7.27,14.18,15.05,18.87,19.11,16.44,10.2,2.16,-1.93,TAV1992_CAT_CONUS.zip
3917164,1.46,5.71,6.41,9.03,15.14,16.4,19.17,19.94,15.88,10.95,3.28,-1.19,TAV1992_CAT_CONUS.zip
3917172,1.53,5.92,5.69,8.11,14.63,15.71,18.95,19.49,16.19,10.57,2.57,-1.64,TAV1992_CAT_CONUS.zip
3917176,1.57,6.01,5.9,8.47,14.82,15.94,19.13,19.62,16.2,10.74,3.12,-1.23,TAV1992_CAT_CONUS.zip
3917178,1.62,6.08,5.46,7.93,14.5,15.51,18.99,19.4,16.43,10.49,2.68,-1.58,TAV1992_CAT_CONUS.zip
3917194,1.41,6.53,4.63,6.84,14.02,14.78,18.76,18.93,16.29,9.89,1.49,-2.37,TAV1992_CAT_CONUS.zip
3917198,1.68,5.57,7.67,10.62,16.26,17.95,20.19,21.11,16,11.81,4.56,-0.28,TAV1992_CAT_CONUS.zip
3917200,1.98,5.87,7.92,10.93,16.71,18.48,20.84,21.58,16.34,12.15,4.89,0.03,TAV1992_CAT_CONUS.zip
3917222,1.66,5.55,7.55,10.49,16.16,17.81,20.05,20.98,15.99,11.72,4.47,-0.35,TAV1992_CAT_CONUS.zip
3917230,2.25,6.25,8.31,11.34,17.24,19.1,21.7,22.19,16.75,12.46,5.2,0.34,TAV1992_CAT_CONUS.zip
3917244,2.24,6.18,8.26,11.29,17.16,19.02,21.58,22.1,16.69,12.42,5.16,0.32,TAV1992_CAT_CONUS.zip
