COMID,CAT_TAV_JAN1966,CAT_TAV_FEB1966,CAT_TAV_MAR1966,CAT_TAV_APR1966,CAT_TAV_MAY1966,CAT_TAV_JUN1966,CAT_TAV_JUL1966,CAT_TAV_AUG1966,CAT_TAV_SEP1966,CAT_TAV_OCT1966,CAT_TAV_NOV1966,CAT_TAV_DEC1966,filename
3917070,-0.1,2.23,1.43,5.5,10.83,11.75,15.96,17.72,16.26,9,2.81,0.34,TAV1966_CAT_CONUS.zip
3917072,-0.05,2.26,1.67,5.75,11.08,11.99,16.16,17.9,16.36,9.12,2.99,0.45,TAV1966_CAT_CONUS.zip
3917082,-0.11,2.4,0.86,4.74,10.54,11.4,15.75,17.26,16.14,8.59,2.35,-0.05,TAV1966_CAT_CONUS.zip
3917084,-0.25,2.21,0.56,4.51,10.13,11.03,15.43,17.03,16.03,8.48,2.17,-0.17,TAV1966_CAT_CONUS.zip
3917106,-0.04,2.5,1.08,4.9,10.68,11.54,15.9,17.41,16.28,8.7,2.49,0.05,TAV1966_CAT_CONUS.zip
3917114,-0.13,2.12,1.43,5.38,10.72,11.66,15.84,17.54,16.14,8.84,2.76,0.25,TAV1966_CAT_CONUS.zip
3917130,0,2.51,1.51,5.27,10.78,11.7,16.03,17.65,16.44,8.9,2.79,0.26,TAV1966_CAT_CONUS.zip
3917136,0.07,2.66,1.21,4.98,10.84,11.68,16.08,17.54,16.46,8.78,2.56,0.14,TAV1966_CAT_CONUS.zip
3917138,0.18,2.85,1.38,5.07,10.92,11.76,16.23,17.67,16.72,8.91,2.65,0.25,TAV1966_CAT_CONUS.zip
3917154,-0.08,2.2,1.55,5.58,10.92,11.84,16.02,17.74,16.27,9,2.88,0.36,TAV1966_CAT_CONUS.zip
3917156,0.01,2.14,2.28,6.27,11.46,12.4,16.39,18.14,16.3,9.25,3.35,0.69,TAV1966_CAT_CONUS.zip
3917158,0.02,0.98,5.21,9.48,13.91,14.99,17.93,19.89,15.83,10.21,5.07,1.92,TAV1966_CAT_CONUS.zip
3917160,-0.01,1.06,4.66,8.98,13.39,14.48,17.56,19.59,15.87,10.13,4.86,1.78,TAV1966_CAT_CONUS.zip
3917162,0.1,2.48,2.13,5.88,11.27,12.19,16.37,18.02,16.5,9.15,3.19,0.56,TAV1966_CAT_CONUS.zip
3917164,-0.05,1.38,3.69,7.9,12.56,13.59,16.95,18.92,15.9,9.74,4.23,1.37,TAV1966_CAT_CONUS.zip
3917172,-0.04,1.81,2.76,6.89,11.86,12.83,16.57,18.43,16.12,9.45,3.66,0.95,TAV1966_CAT_CONUS.zip
3917176,0.03,1.85,3.35,7.28,12.17,13.18,16.75,18.59,16.19,9.54,3.98,1.19,TAV1966_CAT_CONUS.zip
3917178,0.08,2.13,2.73,6.61,11.74,12.7,16.59,18.31,16.3,9.35,3.59,0.87,TAV1966_CAT_CONUS.zip
3917194,0.18,2.73,1.54,5.16,10.97,11.83,16.28,17.79,16.41,8.94,2.69,0.27,TAV1966_CAT_CONUS.zip
3917198,0.2,1.3,5.46,9.79,14.24,15.35,18.35,20.26,16.19,10.47,5.29,2.08,TAV1966_CAT_CONUS.zip
