COMID,CAT_PPT_JAN1955,CAT_PPT_FEB1955,CAT_PPT_MAR1955,CAT_PPT_APR1955,CAT_PPT_MAY1955,CAT_PPT_JUN1955,CAT_PPT_JUL1955,CAT_PPT_AUG1955,CAT_PPT_SEP1955,CAT_PPT_OCT1955,CAT_PPT_NOV1955,CAT_PPT_DEC1955,filename
3917070,52.12,24.38,38.19,35.2,6.21,7.9,6.92,5.02,30.08,45.84,180.07,259.35,PPT1955_CAT_CONUS.zip
3917072,51.61,23.29,35.53,32.06,6.18,7.83,6.74,5.03,29.15,44.59,173.78,247.75,PPT1955_CAT_CONUS.zip
3917082,44.64,24.67,36.67,38.4,2.93,6.93,15.22,1.43,21.29,38.02,170.76,308.25,PPT1955_CAT_CONUS.zip
3917084,48.59,27.42,36.16,38.64,4.61,6.1,11.65,3.37,24.26,38.54,175.54,310.04,PPT1955_CAT_CONUS.zip
3917106,42.81,24.09,34.38,37.72,3.35,6.71,13.65,1.93,21.32,36.65,160.72,296.52,PPT1955_CAT_CONUS.zip
3917114,49.61,21.05,30.89,31.56,5.34,5.19,7.25,4.5,24.42,38.28,154.29,281.11,PPT1955_CAT_CONUS.zip
3917130,43.44,26.15,29.62,36.61,5.46,4.91,7.93,4.38,24.25,36.47,147.28,275.55,PPT1955_CAT_CONUS.zip
3917136,40.07,21.04,32.44,38.13,3.19,7.33,12.61,1.95,19.58,32.31,145.61,281.13,PPT1955_CAT_CONUS.zip
3917138,37.95,19.26,28.37,38.1,4.14,7.39,8.91,3.25,19.14,27.54,125.17,258.54,PPT1955_CAT_CONUS.zip
3917154,50.85,22.53,33.76,32,5.84,6.77,6.98,4.82,27.28,42.06,166.39,261.71,PPT1955_CAT_CONUS.zip
3917156,49.5,16.22,30.05,27.03,5.48,6.04,5.54,4.62,25.2,41.11,146.93,251.95,PPT1955_CAT_CONUS.zip
3917158,27.44,7.37,13.83,14.28,4.36,5.07,2.33,4.25,17.95,33.89,92.16,234.77,PPT1955_CAT_CONUS.zip
3917160,33.81,7.82,15.85,15.62,4.62,4.66,2.31,4.3,19.04,37.77,113.11,251.27,PPT1955_CAT_CONUS.zip
3917162,45.36,21.7,29.17,35.39,5.15,4.85,6.69,4.23,23.17,36.88,138.28,263.89,PPT1955_CAT_CONUS.zip
3917164,47.3,10.17,26.98,21.36,4.84,4.85,3.61,4.36,21.85,41.79,134.39,262.52,PPT1955_CAT_CONUS.zip
3917172,49.43,15.96,31.2,26.31,5.4,6.14,4.99,4.63,25.06,42.94,151.79,256.44,PPT1955_CAT_CONUS.zip
3917176,55.4,20.79,35.26,49.03,4.38,5.29,4.84,3.87,20.35,38.09,150.38,289.13,PPT1955_CAT_CONUS.zip
3917178,53.98,18.68,33.62,40.31,4.5,5.02,5.55,3.97,21.65,38.36,144.85,270.09,PPT1955_CAT_CONUS.zip
3917194,55.17,33.14,48.42,69.47,2.64,5.45,10.3,2.25,20.36,30.04,174.28,289.65,PPT1955_CAT_CONUS.zip
3917198,27.23,6.8,12.31,14.37,4.23,5.03,2.23,4.19,17.28,33.4,88.43,229.06,PPT1955_CAT_CONUS.zip
3917200,25.08,5.87,10.52,14.19,3.8,4.88,2.11,3.86,15.74,30.98,79.42,204.88,PPT1955_CAT_CONUS.zip
3917230,20.17,3.85,6.96,7.2,3.9,4.89,1.93,4.14,14.51,32.13,66.95,181.65,PPT1955_CAT_CONUS.zip
3917244,20.9,4.1,7.66,9.32,3.9,4.92,1.98,4.06,14.76,31.89,68.93,185.79,PPT1955_CAT_CONUS.zip
3917912,48.58,14.66,28.43,26.43,5.25,5.54,5.29,4.47,23.94,39.52,138.43,252.04,PPT1955_CAT_CONUS.zip
3917914,34.15,13.6,28.85,34.73,2.03,5.72,10.87,1.36,18.87,25.24,126.04,246.84,PPT1955_CAT_CONUS.zip
3917916,44.73,25.63,33.08,46.45,4.46,6.21,8.74,3.55,21.13,32.05,142.21,270.5,PPT1955_CAT_CONUS.zip
3917918,40.23,12.68,23.72,28.16,4.36,5.12,3.31,4.08,19.11,36.25,119.85,258.51,PPT1955_CAT_CONUS.zip
3917920,27.28,7.27,13.63,14.1,4.35,5.07,2.31,4.25,17.9,33.9,91.6,234.56,PPT1955_CAT_CONUS.zip
3917946,21.34,5.28,8.55,7.29,3.76,4.59,1.91,4.68,13.67,30.36,72.43,199.38,PPT1955_CAT_CONUS.zip
3917948,23.88,5.54,10.11,13.36,3.73,4.89,2.08,3.79,15.51,30.56,76.61,199.74,PPT1955_CAT_CONUS.zip
3917950,21.77,4.76,8.81,11.95,3.85,4.93,2.04,3.92,15.23,31.47,70.63,191.16,PPT1955_CAT_CONUS.zip
