COMID,CAT_TMAX7100,NODATA,ACC_TMAX7100,ACC_NODATA,TOT_TMAX7100,TOT_NODATA,filename
3917070,11.04,0,11.04,0,11.04,0,TMAX7100_CONUS.zip
3917072,12.21,0,12.21,0,12.21,0,TMAX7100_CONUS.zip
3917082,11.61,0,11.61,0,11.61,0,TMAX7100_CONUS.zip
3917084,11.87,0,11.87,0,11.87,0,TMAX7100_CONUS.zip
3917100,17.41,0,17.41,0,17.41,0,TMAX7100_CONUS.zip
3917106,12.75,0,12.19,0,12.19,0,TMAX7100_CONUS.zip
3917114,14.14,0,14.14,0,14.14,0,TMAX7100_CONUS.zip
3917130,13.74,0,12.93,0,12.93,0,TMAX7100_CONUS.zip
3917136,12.42,0,12.42,0,12.42,0,TMAX7100_CONUS.zip
3917138,13.47,0,13.47,0,13.47,0,TMAX7100_CONUS.zip
3917154,13.34,0,12.91,0,12.91,0,TMAX7100_CONUS.zip
3917156,15.22,0,15.22,0,15.22,0,TMAX7100_CONUS.zip
3917158,17.39,0,17.39,0,17.39,0,TMAX7100_CONUS.zip
3917160,17.15,0,17.15,0,17.15,0,TMAX7100_CONUS.zip
3917162,13.84,0,13.04,0,13.04,0,TMAX7100_CONUS.zip
3917164,16.33,0,16.33,0,16.33,0,TMAX7100_CONUS.zip
3917172,14.11,0,14.11,0,14.11,0,TMAX7100_CONUS.zip
3917176,15.32,0,13.38,0,13.38,0,TMAX7100_CONUS.zip
3917178,14.42,0,13.24,0,13.24,0,TMAX7100_CONUS.zip
3917194,12.98,0,12.98,0,12.98,0,TMAX7100_CONUS.zip
3917198,18.55,0,14.14,0,14.14,0,TMAX7100_CONUS.zip
3917200,18.63,0,14.4,0,14.4,0,TMAX7100_CONUS.zip
3917222,18.34,0,18.34,0,18.34,0,TMAX7100_CONUS.zip
3917230,19.17,0,19.17,0,19.17,0,TMAX7100_CONUS.zip
3917244,19.16,0,15.63,0,15.52,0,TMAX7100_CONUS.zip
3917266,18.85,0,15.83,0,15.62,0,TMAX7100_CONUS.zip
3917912,14.58,0,13.11,0,13.11,0,TMAX7100_CONUS.zip
3917914,13.72,0,13.53,0,13.53,0,TMAX7100_CONUS.zip
3917916,13.37,0,13.23,0,13.23,0,TMAX7100_CONUS.zip
3917918,17.07,0,13.9,0,13.9,0,TMAX7100_CONUS.zip
3917920,18.24,0,17.47,0,17.47,0,TMAX7100_CONUS.zip
3917922,18,0,18,0,18,0,TMAX7100_CONUS.zip
3917924,18.15,0,18.01,0,18.01,0,TMAX7100_CONUS.zip
3917926,18.33,0,18.33,0,18.33,0,TMAX7100_CONUS.zip
3917946,19.19,0,15.71,0,15.58,0,TMAX7100_CONUS.zip
3917948,18.72,0,14.48,0,14.48,0,TMAX7100_CONUS.zip
3917950,19.07,0,15.57,0,15.47,0,TMAX7100_CONUS.zip
948010046,18.99,0,18.24,0,14.68,0,TMAX7100_CONUS.zip
948010047,18.88,0,18.23,0,14.68,0,TMAX7100_CONUS.zip
948010048,18.85,0,18.22,0,14.67,0,TMAX7100_CONUS.zip
948010089,18.5,0,18.04,0,18.04,0,TMAX7100_CONUS.zip
948010091,18.58,0,18.59,0,14.47,0,TMAX7100_CONUS.zip
948010092,18.69,0,18.69,0,14.41,0,TMAX7100_CONUS.zip
948010095,18.74,0,18.45,0,15.48,0,TMAX7100_CONUS.zip
948010096,18.94,0,18.94,0,15.41,0,TMAX7100_CONUS.zip
