COMID,CAT_RUN_JAN1983,CAT_RUN_FEB1983,CAT_RUN_MAR1983,CAT_RUN_APR1983,CAT_RUN_MAY1983,CAT_RUN_JUN1983,CAT_RUN_JUL1983,CAT_RUN_AUG1983,CAT_RUN_SEP1983,CAT_RUN_OCT1983,CAT_RUN_NOV1983,CAT_RUN_DEC1983,filename
3917070,87.96,164.84,142.04,78.77,45.94,23.85,11.53,10.25,3.95,3.12,55.47,77.72,RUN1983_CAT_CONUS.zip
3917072,90.35,164.05,137.75,70.81,36.14,18.97,9.09,8.83,3.32,2.9,57.26,81.62,RUN1983_CAT_CONUS.zip
3917082,78.05,157.58,144.23,82,41.37,21.31,10.41,9.23,3.55,2.84,29.74,60.31,RUN1983_CAT_CONUS.zip
3917084,78.76,158.21,146.89,98.04,50.29,25.73,12.61,10.55,4.04,3.1,40.54,61.26,RUN1983_CAT_CONUS.zip
3917106,80.21,150.17,137.51,76.2,38.44,19.82,9.67,8.38,3.33,2.78,30.52,63.11,RUN1983_CAT_CONUS.zip
3917114,81.79,143.85,125.3,80.27,40.69,20.95,10.2,8.63,3.3,2.75,38.06,68.19,RUN1983_CAT_CONUS.zip
3917130,85.59,139.32,128.53,77.15,40.14,20.55,10.03,7.82,3.28,2.91,35.67,70.75,RUN1983_CAT_CONUS.zip
3917136,83.43,139.6,127.83,66.81,33.58,17.42,8.49,7.13,3.01,2.63,33.82,65.26,RUN1983_CAT_CONUS.zip
3917138,88.04,123.99,114.1,59.69,29.91,15.57,7.59,5.78,2.71,2.55,41.34,69.79,RUN1983_CAT_CONUS.zip
3917154,86.85,156.2,133.18,75.16,38.29,19.92,9.61,8.8,3.33,2.85,49.7,76.09,RUN1983_CAT_CONUS.zip
3917156,86.67,143.08,115.41,57.96,29.57,15.54,7.43,7.09,2.68,2.47,39.14,77.69,RUN1983_CAT_CONUS.zip
3917158,59.66,69.7,63.62,30.62,15.65,8.22,3.87,3.81,1.68,1.62,4.48,56.41,RUN1983_CAT_CONUS.zip
3917160,65.36,85.83,69.37,33.74,17.28,9.09,4.26,4.21,1.77,1.8,4.51,59.08,RUN1983_CAT_CONUS.zip
3917162,88.68,134.91,118.62,64.98,36.04,18.56,9.01,6.91,2.99,2.77,30.18,74.16,RUN1983_CAT_CONUS.zip
3917164,78.77,128.81,100.53,49.24,25.11,13.13,6.3,6.8,2.34,2.13,23.67,73.39,RUN1983_CAT_CONUS.zip
3917172,83.95,144.04,116.46,58.88,30.41,15.93,7.64,7.74,2.79,2.47,37.5,76.46,RUN1983_CAT_CONUS.zip
3917176,96.8,144.59,134.42,85.63,52.53,26.82,13.13,9.1,4.02,3.24,23.62,74.98,RUN1983_CAT_CONUS.zip
3917178,92.4,140.37,120.06,69.81,43.8,22.53,10.97,8.05,3.46,2.95,25.58,74.25,RUN1983_CAT_CONUS.zip
3917194,108.61,173.44,177.33,108.36,64.86,33.09,16.29,10.28,4.99,4.02,38.97,74.66,RUN1983_CAT_CONUS.zip
3917198,54.66,65.18,59.99,28.86,14.71,7.73,3.64,3.57,1.62,1.59,4.49,55.67,RUN1983_CAT_CONUS.zip
3917200,43.65,56.06,53.41,25.7,12.99,6.82,3.23,3.18,1.49,1.51,4.35,46.12,RUN1983_CAT_CONUS.zip
