COMID,CAT_TAV_JAN1946,CAT_TAV_FEB1946,CAT_TAV_MAR1946,CAT_TAV_APR1946,CAT_TAV_MAY1946,CAT_TAV_JUN1946,CAT_TAV_JUL1946,CAT_TAV_AUG1946,CAT_TAV_SEP1946,CAT_TAV_OCT1946,CAT_TAV_NOV1946,CAT_TAV_DEC1946,filename
3917070,-0.75,1.62,0.47,4.82,9.89,10.95,17.58,18.08,14.89,5.11,0.75,0.22,TAV1946_CAT_CONUS.zip
3917072,-0.69,1.62,0.69,5.07,10.1,11.17,17.75,18.26,14.96,5.25,0.92,0.33,TAV1946_CAT_CONUS.zip
3917082,-0.89,1.39,0.01,4.09,9.5,10.49,17.46,17.79,14.85,4.77,0.41,-0.17,TAV1946_CAT_CONUS.zip
3917084,-0.98,1.43,-0.31,3.85,9.2,10.2,17.16,17.53,14.81,4.58,0.19,-0.26,TAV1946_CAT_CONUS.zip
3917106,-0.82,1.41,0.14,4.27,9.63,10.6,17.58,17.95,14.9,4.87,0.53,-0.05,TAV1946_CAT_CONUS.zip
3917114,-0.81,1.41,0.41,4.7,9.73,10.83,17.53,17.98,14.91,5.03,0.69,0.16,TAV1946_CAT_CONUS.zip
3917130,-0.74,1.47,0.3,4.62,9.77,10.76,17.65,18.14,14.98,4.99,0.71,0.16,TAV1946_CAT_CONUS.zip
3917136,-0.68,1.46,0.27,4.41,9.76,10.7,17.79,18.13,14.97,5.02,0.66,0.03,TAV1946_CAT_CONUS.zip
3917138,-0.53,1.55,0.33,4.56,9.84,10.75,17.95,18.32,15.08,5.13,0.76,0.16,TAV1946_CAT_CONUS.zip
3917154,-0.74,1.54,0.56,4.9,9.93,11.01,17.65,18.13,14.94,5.15,0.81,0.25,TAV1946_CAT_CONUS.zip
3917156,-0.61,1.44,1.22,5.6,10.39,11.54,18,18.5,14.96,5.54,1.25,0.57,TAV1946_CAT_CONUS.zip
3917158,-0.23,1.28,4.55,8.77,12.49,14.23,19.43,19.92,14.53,7.32,3.48,1.77,TAV1946_CAT_CONUS.zip
3917160,-0.29,1.34,4.07,8.32,12.13,13.71,19.09,19.61,14.49,7.08,3.11,1.64,TAV1946_CAT_CONUS.zip
3917162,-0.61,1.42,0.86,5.23,10.19,11.24,17.97,18.47,15.01,5.34,1.09,0.45,TAV1946_CAT_CONUS.zip
3917164,-0.5,1.26,2.92,7.23,11.4,12.73,18.56,19.02,14.53,6.43,2.31,1.21,TAV1946_CAT_CONUS.zip
3917172,-0.58,1.42,1.87,6.22,10.78,11.98,18.17,18.66,14.73,5.87,1.65,0.81,TAV1946_CAT_CONUS.zip
3917176,-0.53,1.34,2.3,6.64,10.98,12.22,18.33,18.86,14.65,6.02,1.9,1.05,TAV1946_CAT_CONUS.zip
3917178,-0.53,1.34,1.59,5.96,10.61,11.8,18.2,18.69,14.87,5.73,1.51,0.75,TAV1946_CAT_CONUS.zip
