COMID,CAT_PPT_JAN1957,CAT_PPT_FEB1957,CAT_PPT_MAR1957,CAT_PPT_APR1957,CAT_PPT_MAY1957,CAT_PPT_JUN1957,CAT_PPT_JUL1957,CAT_PPT_AUG1957,CAT_PPT_SEP1957,CAT_PPT_OCT1957,CAT_PPT_NOV1957,CAT_PPT_DEC1957,filename
3917070,87.2,148.92,204.75,44.34,89.74,4.04,2.52,4.91,105.49,94.65,132.05,127.99,PPT1957_CAT_CONUS.zip
3917072,87.38,150.6,197.47,43.66,90.17,4.17,2.53,4.76,96.59,92.24,125.16,117.48,PPT1957_CAT_CONUS.zip
3917082,79.87,138.53,174.09,66.68,89.35,5.28,6.07,6.29,130.12,83.22,121.12,147.67,PPT1957_CAT_CONUS.zip
3917084,80.46,138.93,185.43,56.71,85.87,6.33,4.22,5.39,124.83,85.35,127.54,147.64,PPT1957_CAT_CONUS.zip
3917106,77.96,129.36,163.47,60.79,81.27,5.2,5.46,5.75,125.6,82.16,111.08,143.28,PPT1957_CAT_CONUS.zip
3917114,79.6,129.15,172.65,38.56,75.75,5.67,2.64,4.25,92.96,88.25,114.02,127.68,PPT1957_CAT_CONUS.zip
3917130,77.47,115.81,151.97,43.13,64.83,5.03,2.99,4.16,111.41,85.51,97.7,134.03,PPT1957_CAT_CONUS.zip
3917136,75.35,117.68,146.56,56.03,72.25,5.78,5.16,5.21,120.06,77.95,96.63,137.3,PPT1957_CAT_CONUS.zip
3917138,71.57,99.14,126.9,43.02,55.92,6.85,3.59,3.89,109.33,73.58,77.63,128.47,PPT1957_CAT_CONUS.zip
3917154,84.27,142.16,187.88,41.83,84.52,4.8,2.58,4.56,95.68,90.61,121.03,121.98,PPT1957_CAT_CONUS.zip
3917156,82.45,130.43,166.84,32.06,75.15,3.88,2.29,4.06,75.62,91.54,107.8,111.73,PPT1957_CAT_CONUS.zip
3917158,66.83,68.65,70.09,14.35,37.55,2.87,1.17,2.52,63.64,84.85,48.77,110.48,PPT1957_CAT_CONUS.zip
3917160,73.81,66.5,78.76,17.13,41.85,2.97,1.22,2.76,59.29,84.59,55.02,113.77,PPT1957_CAT_CONUS.zip
3917162,81.6,115.77,143.57,38.01,63.34,4,2.84,3.88,92.78,90.22,91.57,123.22,PPT1957_CAT_CONUS.zip
3917164,83.87,110.45,104.19,24.93,53.33,3.36,1.71,3.46,65.88,87.61,87.25,114.25,PPT1957_CAT_CONUS.zip
3917172,85.17,128.61,146.28,32.89,68.61,3.72,2.09,4.02,79.45,89.4,103.83,115.98,PPT1957_CAT_CONUS.zip
3917176,107.13,134.96,122.14,48.21,62.08,4.2,2.5,3.44,82.61,101.72,81.79,126.4,PPT1957_CAT_CONUS.zip
3917178,96.56,130.68,138.68,39.85,68.25,3.64,2.77,3.76,74.31,99.6,93.74,117.79,PPT1957_CAT_CONUS.zip
3917194,116.92,158.24,130.49,75.06,89.39,4.12,5.98,4.9,120.07,116.33,95.48,136.24,PPT1957_CAT_CONUS.zip
3917198,64.32,68.16,69.92,14.3,35.69,3.01,1.05,2.48,61.95,84.17,48.06,108.28,PPT1957_CAT_CONUS.zip
3917200,55.61,66.2,68.24,14.8,37.45,3.02,0.92,2.24,61.52,79.17,45.45,99.87,PPT1957_CAT_CONUS.zip
3917212,104.59,117.27,106.22,44.94,58.98,4.69,2.17,3.37,86,105.97,80.02,123.33,PPT1957_CAT_CONUS.zip
3917214,67.56,78.32,77.3,19.62,44.82,3.54,1.04,2.7,72.65,93.25,58.76,106.35,PPT1957_CAT_CONUS.zip
3917218,62.96,75.4,72.49,17.24,42.76,3.08,0.94,2.53,70.24,90.09,51.99,106.27,PPT1957_CAT_CONUS.zip
3917220,62.05,77,73.06,17.93,44,3.13,0.89,2.54,71.8,91.34,52.76,105.28,PPT1957_CAT_CONUS.zip
3917228,62.05,77,73.06,17.93,44,3.13,0.89,2.54,71.8,91.34,52.76,105.28,PPT1957_CAT_CONUS.zip
3917230,50.48,50.13,70.59,8.13,22.34,2.8,0.93,1.93,37.48,72.54,40.98,96.5,PPT1957_CAT_CONUS.zip
3917244,50.09,54.59,67.78,10.16,26.58,2.82,0.95,1.91,44.62,72.45,37.48,95.22,PPT1957_CAT_CONUS.zip
3917250,114.45,126.95,114.06,53.15,65.79,5.25,2.39,3.59,93.17,113.45,88.31,126.6,PPT1957_CAT_CONUS.zip
3917256,62.05,77,73.06,17.93,44,3.13,0.89,2.54,71.8,91.34,52.76,105.28,PPT1957_CAT_CONUS.zip
3917268,62.05,77,73.06,17.93,44,3.13,0.89,2.54,71.8,91.34,52.76,105.28,PPT1957_CAT_CONUS.zip
3917272,97.82,103.5,100.98,38.06,56.04,4.95,1.91,3.36,83.75,105.66,81.39,117.56,PPT1957_CAT_CONUS.zip
3917274,62.91,77.71,74.81,18.93,46.05,3.22,0.92,2.47,72.1,93.14,52.56,105.68,PPT1957_CAT_CONUS.zip
3917276,114.36,108.82,171.34,37.91,71.56,7.86,2.1,3.2,135.01,133.69,78.07,117.33,PPT1957_CAT_CONUS.zip
3917278,87.65,88.06,115.88,26,54.65,5.53,1.5,2.97,96.73,109.52,69.53,110.19,PPT1957_CAT_CONUS.zip
3917280,62.7,77.53,74.37,18.68,45.54,3.2,0.91,2.49,72.02,92.69,52.61,105.58,PPT1957_CAT_CONUS.zip
3917282,84.6,89.34,120.1,26.77,59.76,5.45,1.41,2.62,100.37,113.5,61.65,110.12,PPT1957_CAT_CONUS.zip
3917284,66.01,80.27,81.05,22.5,53.39,3.57,1.04,2.24,73.17,99.56,51.87,107.12,PPT1957_CAT_CONUS.zip
3917286,65.84,80.13,80.72,22.31,53,3.55,1.03,2.25,73.11,99.22,51.9,107.04,PPT1957_CAT_CONUS.zip
3917912,80.81,124.17,160.71,29.04,71.14,3.81,2.28,3.84,69.66,91.72,101.61,109.83,PPT1957_CAT_CONUS.zip
3917914,72.68,111.8,120.32,47.59,61.44,4.56,5.38,4.81,106.37,79.8,76.53,121.5,PPT1957_CAT_CONUS.zip
3917916,85.34,115.82,133.61,50.62,63.02,5.47,3.7,4.12,112.95,86.05,86.65,133.15,PPT1957_CAT_CONUS.zip
3917918,83.9,97.02,91.64,27.86,45.98,3.47,1.73,2.92,70.67,90.58,62.99,116.79,PPT1957_CAT_CONUS.zip
3917920,66.68,68.23,69.95,14.18,36.9,2.88,1.16,2.51,62.98,84.52,48.5,110.4,PPT1957_CAT_CONUS.zip
3917922,65.17,62.08,69.03,12.21,29.18,3.09,1.07,2.49,54.12,80.23,45.51,110.13,PPT1957_CAT_CONUS.zip
3917946,54.94,57.81,77.71,8.59,20.91,2.48,0.76,1.77,36.62,70.76,44.65,97.78,PPT1957_CAT_CONUS.zip
3917948,53.77,64.18,67.25,14.32,36.64,2.99,0.91,2.16,59.83,76.61,43.98,98.21,PPT1957_CAT_CONUS.zip
3917950,50.9,60.73,64.1,12.71,32.97,2.98,0.95,2.03,53.05,75.46,39.55,95.78,PPT1957_CAT_CONUS.zip
3917956,172.07,218.64,158.02,108.04,107.78,5.33,4.77,4.63,133.98,145.08,112.26,158.94,PPT1957_CAT_CONUS.zip
3917958,173.7,220.04,164.34,104.68,106.69,4.14,4.61,4.6,137.7,150.28,112.58,160.25,PPT1957_CAT_CONUS.zip
3917960,165.64,207.97,165.4,94.07,103.92,3.86,4.47,4.51,140.37,151.15,109.16,154.73,PPT1957_CAT_CONUS.zip
948010089,63.81,62.43,67.99,11.99,28.39,3.1,1.04,2.43,54.12,79.55,44.68,108.53,PPT1957_CAT_CONUS.zip
