COMID,CAT_TAV_JAN1964,CAT_TAV_FEB1964,CAT_TAV_MAR1964,CAT_TAV_APR1964,CAT_TAV_MAY1964,CAT_TAV_JUN1964,CAT_TAV_JUL1964,CAT_TAV_AUG1964,CAT_TAV_SEP1964,CAT_TAV_OCT1964,CAT_TAV_NOV1964,CAT_TAV_DEC1964,filename
3917070,-0.42,2.19,-0.24,2.99,7.87,11.24,17.78,16.06,14.09,10.51,0.95,0.28,TAV1964_CAT_CONUS.zip
3917072,-0.38,2.2,-0.04,3.25,8.07,11.45,17.92,16.21,14.18,10.61,1.15,0.43,TAV1964_CAT_CONUS.zip
3917082,-0.56,2.88,-0.86,1.99,7.68,10.93,17.84,15.85,13.78,10.2,0.37,0.04,TAV1964_CAT_CONUS.zip
3917084,-0.59,2.48,-1.06,1.91,7.32,10.59,17.54,15.62,13.81,10.09,0.24,-0.14,TAV1964_CAT_CONUS.zip
3917100,0.05,1.73,3.41,6.95,10.41,14.48,19.27,18.51,14.06,11.83,3.23,2.18,TAV1964_CAT_CONUS.zip
3917106,-0.46,2.93,-0.71,2.19,7.79,11.06,17.94,15.96,13.91,10.29,0.51,0.18,TAV1964_CAT_CONUS.zip
3917114,-0.44,2.2,-0.35,2.84,7.74,11.14,17.7,15.97,14,10.36,0.85,0.31,TAV1964_CAT_CONUS.zip
3917130,-0.3,2.64,-0.39,2.72,7.84,11.22,17.91,16.05,14.16,10.43,0.84,0.43,TAV1964_CAT_CONUS.zip
3917136,-0.32,3.15,-0.63,2.28,7.91,11.19,18.1,16.09,14.08,10.39,0.55,0.28,TAV1964_CAT_CONUS.zip
3917138,-0.13,3.26,-0.54,2.47,7.98,11.26,18.2,16.2,14.39,10.5,0.64,0.42,TAV1964_CAT_CONUS.zip
3917154,-0.4,2.2,-0.18,3.06,7.92,11.31,17.82,16.1,14.1,10.5,1.01,0.37,TAV1964_CAT_CONUS.zip
3917156,-0.32,2.15,0.37,3.7,8.3,11.81,18.01,16.4,14.11,10.7,1.44,0.76,TAV1964_CAT_CONUS.zip
3917158,-0.27,1.44,2.98,6.57,10.02,14.06,18.82,17.95,13.62,11.48,2.91,1.95,TAV1964_CAT_CONUS.zip
3917160,-0.27,1.34,2.58,6.08,9.56,13.61,18.51,17.6,13.6,11.42,2.69,1.73,TAV1964_CAT_CONUS.zip
3917162,-0.22,2.59,0.09,3.3,8.19,11.66,18.09,16.33,14.19,10.62,1.24,0.76,TAV1964_CAT_CONUS.zip
3917164,-0.41,1.49,1.66,5.1,8.95,12.81,18.16,16.95,13.65,11.08,2.14,1.3,TAV1964_CAT_CONUS.zip
3917172,-0.38,1.83,0.87,4.22,8.52,12.16,18.03,16.58,13.9,10.86,1.68,0.91,TAV1964_CAT_CONUS.zip
3917176,-0.29,2,1.24,4.53,8.67,12.43,18.11,16.71,13.85,10.91,1.9,1.23,TAV1964_CAT_CONUS.zip
3917178,-0.24,2.25,0.67,3.96,8.47,12.06,18.11,16.55,14.03,10.76,1.61,0.99,TAV1964_CAT_CONUS.zip
3917194,-0.12,3.18,-0.45,2.52,7.96,11.36,18.29,16.14,13.96,10.5,0.69,0.41,TAV1964_CAT_CONUS.zip
3917198,0.05,1.76,3.33,6.88,10.41,14.38,19.21,18.41,14.04,11.78,3.15,2.15,TAV1964_CAT_CONUS.zip
3917200,0.51,2.16,3.86,7.4,11.05,14.94,19.88,19.13,14.68,12.2,3.5,2.45,TAV1964_CAT_CONUS.zip
3917222,0.01,1.73,3.18,6.73,10.26,14.21,19.07,18.23,13.97,11.71,3.05,2.09,TAV1964_CAT_CONUS.zip
3917230,0.98,2.53,4.53,8.1,11.89,15.81,20.82,20.11,15.42,12.63,3.95,2.82,TAV1964_CAT_CONUS.zip
3917244,0.93,2.5,4.45,8.01,11.75,15.7,20.71,20,15.33,12.58,3.9,2.76,TAV1964_CAT_CONUS.zip
3917266,0.59,2.21,4,7.55,11.22,15.12,20.07,19.33,14.81,12.28,3.59,2.52,TAV1964_CAT_CONUS.zip
3917912,-0.28,2.21,0.43,3.76,8.35,11.87,18.05,16.45,14.14,10.71,1.5,0.84,TAV1964_CAT_CONUS.zip
