COMID,CAT_PET,NODATA,ACC_PET,ACC_NODATA,TOT_PET,TOT_NODATA,filename
3917070,457.58,0,457.58,0,457.58,0,PET_CONUS.zip
3917072,473,0,473,0,473,0,PET_CONUS.zip
3917082,454.64,0,454.64,0,454.64,0,PET_CONUS.zip
3917084,441.89,0,441.89,0,441.89,0,PET_CONUS.zip
3917106,464.16,0,451.11,0,451.11,0,PET_CONUS.zip
3917114,471.91,0,471.91,0,471.91,0,PET_CONUS.zip
3917130,475.49,0,473.04,0,473.04,0,PET_CONUS.zip
3917136,480.8,0,480.8,0,480.8,0,PET_CONUS.zip
3917138,486.18,0,486.18,0,486.18,0,PET_CONUS.zip
3917154,473.75,0,470.83,0,470.83,0,PET_CONUS.zip
3917156,506.72,0,506.72,0,506.72,0,PET_CONUS.zip
3917158,593.26,0,593.26,0,593.26,0,PET_CONUS.zip
3917160,594.59,0,594.59,0,594.59,0,PET_CONUS.zip
3917162,491.88,0,474.6,0,474.6,0,PET_CONUS.zip
3917164,555.27,0,555.27,0,555.27,0,PET_CONUS.zip
3917172,506.07,0,506.07,0,506.07,0,PET_CONUS.zip
3917176,537.04,0,483.11,0,483.11,0,PET_CONUS.zip
3917178,516.54,0,479.07,0,479.07,0,PET_CONUS.zip
3917194,482.64,0,482.64,0,482.64,0,PET_CONUS.zip
3917198,618.99,0,502.97,0,502.97,0,PET_CONUS.zip
3917200,620,0,510.42,0,510.42,0,PET_CONUS.zip
3917212,558.56,0,558.56,0,558.56,0,PET_CONUS.zip
3917214,594.05,0,594.05,0,594.05,0,PET_CONUS.zip
3917218,612.12,0,567.21,0,567.21,0,PET_CONUS.zip
3917220,620,0,570.61,0,570.61,0,PET_CONUS.zip
3917228,616.6,0,616.6,0,616.6,0,PET_CONUS.zip
3917230,663.9,0,663.9,0,663.9,0,PET_CONUS.zip
3917244,658.72,0,553.86,0,557.45,0,PET_CONUS.zip
3917250,543.5,0,543.5,0,543.5,0,PET_CONUS.zip
3917256,613.38,0,529.48,0,529.48,0,PET_CONUS.zip
3917268,615.79,0,533.01,0,533.01,0,PET_CONUS.zip
3917272,556.91,0,512.43,0,512.43,0,PET_CONUS.zip
3917274,613,0,613,0,613,0,PET_CONUS.zip
3917276,546.61,0,517.46,0,517.46,0,PET_CONUS.zip
3917278,575.79,0,528.46,0,528.46,0,PET_CONUS.zip
3917280,616.25,0,552.23,0,552.23,0,PET_CONUS.zip
3917282,600.98,0,539.42,0,539.42,0,PET_CONUS.zip
3917284,613.93,0,546.28,0,546.28,0,PET_CONUS.zip
3917286,627,0,627,0,627,0,PET_CONUS.zip
3917912,504.25,0,475.87,0,475.87,0,PET_CONUS.zip
3917914,501.45,0,498.31,0,498.31,0,PET_CONUS.zip
3917916,480.3,0,486.89,0,486.89,0,PET_CONUS.zip
3917918,575.32,0,496.07,0,496.07,0,PET_CONUS.zip
3917920,615.08,0,599.44,0,599.44,0,PET_CONUS.zip
3917922,617.02,0,617.02,0,617.02,0,PET_CONUS.zip
3917946,681.77,0,556.64,0,559.42,0,PET_CONUS.zip
3917948,633.19,0,512.74,0,512.74,0,PET_CONUS.zip
3917950,648.34,0,551.98,0,556.14,0,PET_CONUS.zip
3917956,490.87,0,490.87,0,490.87,0,PET_CONUS.zip
3917958,508.49,0,508.49,0,508.49,0,PET_CONUS.zip
3917960,505.2,0,505.2,0,505.2,0,PET_CONUS.zip
948010089,625.56,0,617.78,0,617.78,0,PET_CONUS.zip
