COMID,CAT_PPT_JAN1956,CAT_PPT_FEB1956,CAT_PPT_MAR1956,CAT_PPT_APR1956,CAT_PPT_MAY1956,CAT_PPT_JUN1956,CAT_PPT_JUL1956,CAT_PPT_AUG1956,CAT_PPT_SEP1956,CAT_PPT_OCT1956,CAT_PPT_NOV1956,CAT_PPT_DEC1956,filename
3917070,192.04,142.39,24.61,19.07,124.29,36.5,24.93,7.45,21.02,120.34,13.99,86.83,PPT1956_CAT_CONUS.zip
3917072,191.85,142.8,24.6,19.5,118.68,36.12,22.83,7.17,20.78,116.06,13.29,83.11,PPT1956_CAT_CONUS.zip
3917082,189.23,130.49,14.98,15.52,112.72,36.03,17.02,13.59,25.99,109.89,5.94,79.16,PPT1956_CAT_CONUS.zip
3917084,188.59,131.54,15.66,15.44,118.16,34.43,19.98,10.15,22.5,112.2,7.46,81.75,PPT1956_CAT_CONUS.zip
3917106,182.99,122.25,14.08,15.04,107.83,35.35,17.27,12.09,24.28,107.91,7.01,70.89,PPT1956_CAT_CONUS.zip
3917114,186.82,119.38,17,14.68,102.5,31.57,20.93,7.04,19.06,109.58,7.26,70.53,PPT1956_CAT_CONUS.zip
3917130,174.67,111.59,13.81,14.92,100.45,33.46,21.17,7.09,19.42,107.84,9.35,58.27,PPT1956_CAT_CONUS.zip
3917136,174.59,109.47,11.99,13.82,101.26,33.63,15.11,10.61,22.09,102.24,9.21,58.53,PPT1956_CAT_CONUS.zip
3917138,162.31,91.59,9.54,12.31,93.28,30.77,14.47,6.59,17.35,96.52,12.83,41.43,PPT1956_CAT_CONUS.zip
3917154,189.85,133.63,21.52,17.57,112.54,34.32,22.09,7.13,20.12,113.54,10.89,78.3,PPT1956_CAT_CONUS.zip
3917156,189.15,121.61,20.34,15.94,96.99,32.26,21.65,6.54,18.5,111.35,9.15,67.17,PPT1956_CAT_CONUS.zip
3917158,148.16,85.96,7.34,5.45,58.64,23.42,12.18,6.4,14.32,103.71,3.98,32.4,PPT1956_CAT_CONUS.zip
3917160,164.44,84.16,7.96,5.58,66.64,23.96,15.64,6.56,14.77,108.68,4.26,36.88,PPT1956_CAT_CONUS.zip
