COMID,CAT_RUN_JAN1980,CAT_RUN_FEB1980,CAT_RUN_MAR1980,CAT_RUN_APR1980,CAT_RUN_MAY1980,CAT_RUN_JUN1980,CAT_RUN_JUL1980,CAT_RUN_AUG1980,CAT_RUN_SEP1980,CAT_RUN_OCT1980,CAT_RUN_NOV1980,CAT_RUN_DEC1980,filename
3917070,88.72,135.88,80.24,56.43,29.02,16.28,6.85,3.36,2.79,2.56,2.55,21.67,RUN1980_CAT_CONUS.zip
3917072,87.57,131.74,76.15,53.5,27.58,15.59,6.48,3.18,2.69,2.51,2.53,20.15,RUN1980_CAT_CONUS.zip
3917082,91.44,122.13,76.75,51.4,26.33,16.7,6.3,3.08,2.65,2.21,2.13,23.57,RUN1980_CAT_CONUS.zip
3917084,91.07,129.47,81.83,56.31,28.88,17.17,6.89,3.37,2.8,2.39,2.15,33.93,RUN1980_CAT_CONUS.zip
3917106,86.52,112.49,68.24,44.99,23.21,14.88,5.5,2.68,2.43,2.13,1.98,19.93,RUN1980_CAT_CONUS.zip
3917114,81.49,115.11,66.98,45.3,23.33,13.55,5.5,2.69,2.36,2.27,2.06,22.56,RUN1980_CAT_CONUS.zip
3917130,76.67,100.41,56.67,37.47,19.64,11.95,4.55,2.22,2.15,2.19,1.79,14.32,RUN1980_CAT_CONUS.zip
3917136,81.08,100.81,57,35.8,18.66,12.54,4.37,2.12,2.11,1.88,1.7,19.55,RUN1980_CAT_CONUS.zip
3917138,72.21,84.98,41.72,24.1,12.97,9.12,2.93,1.41,1.7,1.67,1.34,19.99,RUN1980_CAT_CONUS.zip
3917154,85.3,125.43,72.81,50.47,26,14.84,6.12,3,2.56,2.41,2.34,21.43,RUN1980_CAT_CONUS.zip
3917156,77.61,106.64,58.08,38.8,20.04,11.62,4.66,2.28,2.11,2.22,2.13,9.48,RUN1980_CAT_CONUS.zip
3917158,48.86,48.56,23.72,12.9,6.75,4.8,1.54,0.72,1.1,1.46,1.07,2.59,RUN1980_CAT_CONUS.zip
3917160,56.1,53.23,25.93,14.02,7.42,5.06,1.68,0.78,1.17,1.62,1.3,2.73,RUN1980_CAT_CONUS.zip
3917162,72.7,95.5,50.36,32.61,17.05,10.4,3.93,1.92,1.93,2.13,1.8,4.65,RUN1980_CAT_CONUS.zip
3917164,67.94,66.51,39.98,24.58,12.59,7.79,2.89,1.39,1.55,1.9,1.37,2.64,RUN1980_CAT_CONUS.zip
3917172,76.39,95.31,55.87,37.23,19.12,11.17,4.45,2.17,2.04,2.17,1.88,10.25,RUN1980_CAT_CONUS.zip
3917176,69.56,99.86,55.24,38.2,19.17,11.19,4.55,2.25,2.02,2.3,1.62,2.99,RUN1980_CAT_CONUS.zip
3917178,73.02,104.92,56.39,37.62,19.13,11.15,4.51,2.22,2.01,2.2,1.89,2.72,RUN1980_CAT_CONUS.zip
3917194,82.85,130.11,73.01,49.93,25.33,15.2,6.07,3.02,2.47,2.25,1.75,8.64,RUN1980_CAT_CONUS.zip
3917198,45.5,46.53,22.57,12.22,6.44,4.71,1.47,0.68,1.07,1.4,0.99,2.58,RUN1980_CAT_CONUS.zip
3917200,34.92,40.25,19.3,10.48,5.55,4.34,1.26,0.58,1,1.24,0.88,2.33,RUN1980_CAT_CONUS.zip
3917212,69.23,92.63,51.3,33.81,17.02,10.09,4.04,1.99,1.87,2.16,1.39,2.94,RUN1980_CAT_CONUS.zip
3917214,46.51,53.44,26.62,14.37,7.45,5.19,1.71,0.81,1.13,1.45,1.01,2.55,RUN1980_CAT_CONUS.zip
