COMID,CAT_CONTACT,NODATA,ACC_CONTACT,ACC_NODATA,TOT_CONTACT,TOT_NODATA,filename
3917070,31,0,31,0,31,0,CONTACT_CONUS.zip
3917072,31,0,31,0,31,0,CONTACT_CONUS.zip
3917082,6.13,0,6.13,0,6.13,0,CONTACT_CONUS.zip
3917084,6.11,0,6.11,0,6.11,0,CONTACT_CONUS.zip
3917106,15.93,0,9.87,0,9.87,0,CONTACT_CONUS.zip
3917114,43.11,0,43.11,0,43.11,0,CONTACT_CONUS.zip
3917130,37.32,0,46.48,0,46.48,0,CONTACT_CONUS.zip
3917136,16.62,0,16.62,0,16.62,0,CONTACT_CONUS.zip
3917138,16,0,16,0,16,0,CONTACT_CONUS.zip
3917154,34.71,0,34.01,0,34.01,0,CONTACT_CONUS.zip
3917156,41.95,0,41.95,0,41.95,0,CONTACT_CONUS.zip
3917158,83.76,0,83.76,0,83.76,0,CONTACT_CONUS.zip
3917160,91.89,0,91.89,0,91.89,0,CONTACT_CONUS.zip
3917162,47.17,0,46.46,0,46.46,0,CONTACT_CONUS.zip
3917164,48.08,0,48.08,0,48.08,0,CONTACT_CONUS.zip
3917172,33.46,0,33.46,0,33.46,0,CONTACT_CONUS.zip
3917176,33.36,0,43.61,0,43.61,0,CONTACT_CONUS.zip
3917178,39.77,0,44.81,0,44.81,0,CONTACT_CONUS.zip
3917194,106.13,0,106.13,0,106.13,0,CONTACT_CONUS.zip
3917198,288,0,53.45,0,53.45,0,CONTACT_CONUS.zip
3917200,288,0,62.43,0,62.43,0,CONTACT_CONUS.zip
3917230,1176.92,0,1176.92,0,1176.92,0,CONTACT_CONUS.zip
3917244,788.57,0,195.96,0,172.23,0,CONTACT_CONUS.zip
3917912,44.38,0,45.21,0,45.21,0,CONTACT_CONUS.zip
3917914,57.78,0,51.42,0,51.42,0,CONTACT_CONUS.zip
3917916,30.11,0,72.6,0,72.6,0,CONTACT_CONUS.zip
3917918,81.69,0,47.34,0,47.34,0,CONTACT_CONUS.zip
3917920,269.54,0,134.68,0,134.68,0,CONTACT_CONUS.zip
3917946,1241.39,0,218.96,0,189.41,0,CONTACT_CONUS.zip
3917948,278.84,0,66.51,0,66.51,0,CONTACT_CONUS.zip
3917950,1359.94,0,185.35,0,164.27,0,CONTACT_CONUS.zip
