COMID,CAT_TAV_JAN1988,CAT_TAV_FEB1988,CAT_TAV_MAR1988,CAT_TAV_APR1988,CAT_TAV_MAY1988,CAT_TAV_JUN1988,CAT_TAV_JUL1988,CAT_TAV_AUG1988,CAT_TAV_SEP1988,CAT_TAV_OCT1988,CAT_TAV_NOV1988,CAT_TAV_DEC1988,filename
3917070,-0.5,5.09,3.05,5.79,7.96,12.48,19.99,18.01,16.42,12.54,1.99,-1.1,TAV1988_CAT_CONUS.zip
3917072,-0.45,5.11,3.25,6.03,8.19,12.7,20.15,18.2,16.5,12.68,2.27,-0.99,TAV1988_CAT_CONUS.zip
3917082,-0.75,5.49,2.71,5.39,7.46,12.03,19.92,17.75,16.09,11.98,0.86,-1.62,TAV1988_CAT_CONUS.zip
3917084,-0.77,5.34,2.36,5,7.18,11.73,19.62,17.43,16.07,11.85,0.88,-1.71,TAV1988_CAT_CONUS.zip
3917106,-0.65,5.54,2.81,5.5,7.61,12.17,20.07,17.89,16.23,12.09,1.11,-1.48,TAV1988_CAT_CONUS.zip
3917114,-0.55,5.11,3.03,5.73,7.72,12.31,19.95,17.94,16.31,12.31,1.88,-1.2,TAV1988_CAT_CONUS.zip
3917130,-0.47,5.38,2.89,5.58,7.84,12.35,20.17,18,16.49,12.33,1.84,-1.19,TAV1988_CAT_CONUS.zip
3917136,-0.54,5.74,2.92,5.61,7.72,12.34,20.31,18.09,16.38,12.16,1.2,-1.39,TAV1988_CAT_CONUS.zip
3917138,-0.37,5.93,2.91,5.6,7.82,12.47,20.52,18.23,16.65,12.26,1.48,-1.26,TAV1988_CAT_CONUS.zip
3917154,-0.49,5.11,3.14,5.89,7.99,12.52,20.06,18.08,16.42,12.52,2.09,-1.08,TAV1988_CAT_CONUS.zip
3917156,-0.37,5,3.79,6.6,8.41,13.02,20.37,18.56,16.52,12.84,2.71,-0.7,TAV1988_CAT_CONUS.zip
3917158,-0.12,4.68,6.48,9.91,10.18,15.36,21.24,20.6,16.31,13.99,4.78,0.72,TAV1988_CAT_CONUS.zip
3917160,-0.1,4.75,6.09,9.45,9.95,15.04,21.06,20.22,16.35,14,4.52,0.63,TAV1988_CAT_CONUS.zip
3917162,-0.34,5.26,3.46,6.2,8.24,12.79,20.44,18.42,16.6,12.64,2.41,-0.85,TAV1988_CAT_CONUS.zip
3917164,-0.26,4.84,5.14,8.37,9.29,14.2,20.7,19.51,16.34,13.51,3.79,0.09,TAV1988_CAT_CONUS.zip
3917172,-0.33,4.97,4.26,7.27,8.77,13.49,20.45,18.89,16.42,13.12,3.08,-0.39,TAV1988_CAT_CONUS.zip
3917176,-0.22,5.06,4.64,7.65,9.02,13.78,20.57,19.13,16.47,13.21,3.41,-0.09,TAV1988_CAT_CONUS.zip
3917178,-0.27,5.06,4.12,6.97,8.6,13.27,20.54,18.81,16.55,12.94,2.96,-0.48,TAV1988_CAT_CONUS.zip
3917194,-0.4,5.69,3.01,5.66,7.84,12.48,20.51,18.22,16.44,12.31,1.59,-1.18,TAV1988_CAT_CONUS.zip
3917198,0.13,4.81,6.59,9.98,10.55,15.7,21.49,20.84,16.6,14.2,4.94,0.86,TAV1988_CAT_CONUS.zip
3917200,0.41,4.92,6.77,10.09,11.04,16.18,21.83,21.21,16.95,14.38,5.09,1,TAV1988_CAT_CONUS.zip
3917230,0.58,4.95,7,10.25,11.55,16.72,22.28,21.8,17.34,14.47,5.28,1.05,TAV1988_CAT_CONUS.zip
3917244,0.61,4.96,6.99,10.24,11.51,16.65,22.21,21.73,17.29,14.47,5.27,1.08,TAV1988_CAT_CONUS.zip
3917912,-0.33,4.99,3.88,6.67,8.43,13.05,20.44,18.62,16.55,12.85,2.79,-0.65,TAV1988_CAT_CONUS.zip
3917914,-0.44,5.63,3.77,6.56,8.02,12.91,20.79,18.78,16.41,12.59,1.89,-0.94,TAV1988_CAT_CONUS.zip
3917916,-0.37,5.71,2.94,5.64,7.91,12.48,20.44,18.19,16.63,12.33,1.71,-1.18,TAV1988_CAT_CONUS.zip
3917918,-0.14,4.86,5.63,8.88,9.66,14.64,20.93,19.91,16.39,13.66,4.17,0.38,TAV1988_CAT_CONUS.zip
3917920,-0.09,4.69,6.49,9.92,10.21,15.39,21.26,20.63,16.33,14.01,4.8,0.73,TAV1988_CAT_CONUS.zip
3917946,0.62,4.95,7.03,10.29,11.68,16.87,22.43,21.9,17.44,14.44,5.29,1.03,TAV1988_CAT_CONUS.zip
3917948,0.43,4.92,6.82,10.14,11.12,16.26,21.88,21.3,16.99,14.4,5.12,1.01,TAV1988_CAT_CONUS.zip
3917950,0.55,4.95,6.92,10.19,11.33,16.47,22.04,21.52,17.15,14.46,5.22,1.07,TAV1988_CAT_CONUS.zip
