COMID,CAT_TAV_JAN1973,CAT_TAV_FEB1973,CAT_TAV_MAR1973,CAT_TAV_APR1973,CAT_TAV_MAY1973,CAT_TAV_JUN1973,CAT_TAV_JUL1973,CAT_TAV_AUG1973,CAT_TAV_SEP1973,CAT_TAV_OCT1973,CAT_TAV_NOV1973,CAT_TAV_DEC1973,filename
3917070,-0.64,5.03,0.62,4.27,11.35,13.61,18.48,16.94,15.59,7.9,1.66,1.28,TAV1973_CAT_CONUS.zip
3917072,-0.58,5.07,0.82,4.52,11.59,13.83,18.7,17.11,15.69,8.01,1.87,1.41,TAV1973_CAT_CONUS.zip
3917082,-0.85,4.75,0.07,3.55,10.98,13.28,18.2,16.72,15.46,7.55,1.04,1.05,TAV1973_CAT_CONUS.zip
3917084,-0.87,4.82,-0.14,3.32,10.6,12.92,17.83,16.45,15.36,7.43,0.86,0.88,TAV1973_CAT_CONUS.zip
3917100,-0.23,3.54,3.96,8.45,14.66,17.02,21.14,19.39,15.41,9.37,4.26,2.98,TAV1973_CAT_CONUS.zip
3917106,-0.76,4.82,0.21,3.72,11.13,13.42,18.38,16.85,15.58,7.66,1.21,1.19,TAV1973_CAT_CONUS.zip
3917114,-0.7,4.76,0.53,4.17,11.2,13.5,18.36,16.85,15.43,7.78,1.55,1.32,TAV1973_CAT_CONUS.zip
3917130,-0.58,5.04,0.5,4.07,11.28,13.56,18.58,17,15.7,7.85,1.61,1.44,TAV1973_CAT_CONUS.zip
3917136,-0.67,4.82,0.3,3.8,11.27,13.56,18.58,16.98,15.75,7.73,1.27,1.31,TAV1973_CAT_CONUS.zip
3917138,-0.52,4.96,0.38,3.89,11.35,13.64,18.74,17.09,15.99,7.84,1.38,1.46,TAV1973_CAT_CONUS.zip
3917154,-0.63,4.94,0.68,4.36,11.41,13.68,18.55,16.99,15.58,7.91,1.72,1.36,TAV1973_CAT_CONUS.zip
3917156,-0.55,4.72,1.23,5.03,11.95,14.21,19.01,17.34,15.57,8.16,2.23,1.72,TAV1973_CAT_CONUS.zip
3917158,-0.56,3.08,3.58,8.06,14.22,16.66,20.69,18.9,15,9.09,3.95,2.78,TAV1973_CAT_CONUS.zip
3917160,-0.5,3.36,3.23,7.55,13.82,16.19,20.3,18.6,15.06,8.96,3.65,2.64,TAV1973_CAT_CONUS.zip
3917162,-0.5,4.91,0.98,4.66,11.76,14.02,18.99,17.31,15.72,8.08,2.06,1.74,TAV1973_CAT_CONUS.zip
3917164,-0.61,3.79,2.41,6.54,13.03,15.34,19.67,17.96,15.14,8.62,3.09,2.25,TAV1973_CAT_CONUS.zip
3917172,-0.58,4.39,1.66,5.59,12.35,14.62,19.21,17.55,15.4,8.34,2.53,1.87,TAV1973_CAT_CONUS.zip
3917176,-0.51,4.15,1.98,5.99,12.63,14.93,19.47,17.72,15.42,8.44,2.85,2.2,TAV1973_CAT_CONUS.zip
3917178,-0.5,4.52,1.51,5.36,12.21,14.49,19.25,17.52,15.52,8.27,2.46,1.96,TAV1973_CAT_CONUS.zip
3917194,-0.6,4.9,0.46,3.97,11.39,13.73,18.86,17.12,15.59,7.9,1.47,1.43,TAV1973_CAT_CONUS.zip
3917198,-0.24,3.5,3.85,8.38,14.58,16.94,21.07,19.32,15.39,9.32,4.17,2.96,TAV1973_CAT_CONUS.zip
3917200,0.15,3.97,4.24,8.9,15.13,17.43,21.65,19.99,15.93,9.63,4.48,3.18,TAV1973_CAT_CONUS.zip
3917222,-0.28,3.49,3.71,8.23,14.43,16.8,20.92,19.17,15.34,9.25,4.07,2.91,TAV1973_CAT_CONUS.zip
3917230,0.56,4.39,4.8,9.51,15.82,18.15,22.45,20.87,16.59,10.01,5,3.47,TAV1973_CAT_CONUS.zip
3917244,0.53,4.33,4.73,9.45,15.74,18.07,22.32,20.75,16.52,9.97,4.94,3.45,TAV1973_CAT_CONUS.zip
3917266,0.21,4.01,4.36,9.04,15.28,17.58,21.8,20.17,16.03,9.7,4.57,3.23,TAV1973_CAT_CONUS.zip
3917912,-0.52,4.68,1.3,5.1,12,14.27,19.08,17.39,15.58,8.19,2.3,1.81,TAV1973_CAT_CONUS.zip
3917914,-0.7,4.15,0.9,4.5,11.79,14.18,19.23,17.47,15.59,8.02,1.75,1.65,TAV1973_CAT_CONUS.zip
3917916,-0.51,5.05,0.49,4.02,11.4,13.68,18.77,17.11,15.9,7.88,1.56,1.51,TAV1973_CAT_CONUS.zip
3917918,-0.51,3.59,2.85,7.12,13.49,15.84,20.11,18.34,15.2,8.8,3.46,2.53,TAV1973_CAT_CONUS.zip
3917920,-0.53,3.11,3.61,8.09,14.25,16.69,20.73,18.94,15.03,9.11,3.97,2.79,TAV1973_CAT_CONUS.zip
3917922,-0.17,3.59,4,8.53,14.74,17.08,21.23,19.48,15.49,9.41,4.29,3.01,TAV1973_CAT_CONUS.zip
3917924,-0.04,3.74,4.14,8.69,14.93,17.26,21.44,19.71,15.68,9.52,4.41,3.08,TAV1973_CAT_CONUS.zip
3917926,0.18,4,4.41,9.01,15.29,17.61,21.84,20.19,16.04,9.71,4.64,3.21,TAV1973_CAT_CONUS.zip
3917946,0.72,4.57,4.98,9.73,16.06,18.39,22.7,21.16,16.84,10.14,5.17,3.61,TAV1973_CAT_CONUS.zip
3917948,0.19,4,4.32,9,15.24,17.54,21.76,20.12,16,9.68,4.54,3.21,TAV1973_CAT_CONUS.zip
3917950,0.36,4.17,4.52,9.23,15.48,17.79,22.04,20.43,16.25,9.83,4.73,3.34,TAV1973_CAT_CONUS.zip
948010046,0.34,4.16,4.52,9.22,15.48,17.78,22.05,20.43,16.25,9.82,4.73,3.32,TAV1973_CAT_CONUS.zip
948010047,0.26,4.07,4.44,9.11,15.37,17.67,21.92,20.29,16.13,9.75,4.65,3.27,TAV1973_CAT_CONUS.zip
948010048,0.19,4.01,4.42,9.02,15.3,17.62,21.85,20.2,16.05,9.72,4.65,3.22,TAV1973_CAT_CONUS.zip
948010089,-0.09,3.68,4.08,8.63,14.85,17.18,21.35,19.61,15.6,9.47,4.35,3.06,TAV1973_CAT_CONUS.zip
948010091,-0.02,3.76,4.15,8.72,14.96,17.28,21.47,19.75,15.71,9.53,4.42,3.1,TAV1973_CAT_CONUS.zip
948010092,0.14,3.94,4.3,8.95,15.18,17.49,21.7,20.05,15.93,9.65,4.52,3.19,TAV1973_CAT_CONUS.zip
948010095,0.23,4.05,4.45,9.08,15.35,17.67,21.91,20.26,16.11,9.75,4.67,3.25,TAV1973_CAT_CONUS.zip
948010096,0.19,3.99,4.34,9.02,15.26,17.56,21.78,20.14,16.01,9.69,4.56,3.22,TAV1973_CAT_CONUS.zip
