COMID,CAT_TAV_JAN1965,CAT_TAV_FEB1965,CAT_TAV_MAR1965,CAT_TAV_APR1965,CAT_TAV_MAY1965,CAT_TAV_JUN1965,CAT_TAV_JUL1965,CAT_TAV_AUG1965,CAT_TAV_SEP1965,CAT_TAV_OCT1965,CAT_TAV_NOV1965,CAT_TAV_DEC1965,filename
3917070,0.91,3.59,2.77,4.4,7.64,12.09,17.38,16.1,13.98,10.77,3.5,-1.48,TAV1965_CAT_CONUS.zip
3917072,0.94,3.61,2.97,4.63,7.89,12.31,17.59,16.27,14.09,10.89,3.71,-1.39,TAV1965_CAT_CONUS.zip
3917082,0.8,3.73,2.21,3.81,7.29,11.81,17.12,15.78,13.81,10.39,2.85,-1.81,TAV1965_CAT_CONUS.zip
3917084,0.76,3.54,1.99,3.52,6.89,11.43,16.79,15.53,13.68,10.28,2.7,-1.9,TAV1965_CAT_CONUS.zip
3917106,0.87,3.86,2.36,3.98,7.42,11.94,17.29,15.9,13.94,10.49,3.01,-1.71,TAV1965_CAT_CONUS.zip
3917114,0.84,3.48,2.6,4.28,7.49,11.96,17.26,15.98,13.83,10.62,3.31,-1.55,TAV1965_CAT_CONUS.zip
3917130,0.94,3.92,2.63,4.28,7.55,12.05,17.47,16.07,14.1,10.66,3.38,-1.51,TAV1965_CAT_CONUS.zip
3917136,0.98,4.09,2.45,4.08,7.57,12.08,17.5,16.01,14.11,10.6,3.07,-1.63,TAV1965_CAT_CONUS.zip
3917138,1.12,4.34,2.55,4.18,7.64,12.15,17.68,16.09,14.35,10.72,3.19,-1.52,TAV1965_CAT_CONUS.zip
3917154,0.89,3.55,2.8,4.47,7.71,12.15,17.44,16.14,13.98,10.77,3.53,-1.46,TAV1965_CAT_CONUS.zip
3917156,0.94,3.54,3.29,5.1,8.25,12.65,17.85,16.51,14.03,11.02,3.95,-1.19,TAV1965_CAT_CONUS.zip
3917158,0.95,3.25,5.4,7.99,10.5,14.94,19.18,18.06,13.76,11.97,5.44,-0.2,TAV1965_CAT_CONUS.zip
3917160,0.94,3.26,5.09,7.48,10.04,14.5,18.87,17.77,13.76,11.89,5.22,-0.3,TAV1965_CAT_CONUS.zip
3917162,1,3.9,3.06,4.83,8.03,12.49,17.85,16.41,14.16,10.89,3.77,-1.27,TAV1965_CAT_CONUS.zip
3917164,0.87,3.29,4.35,6.54,9.27,13.69,18.34,17.16,13.73,11.51,4.72,-0.68,TAV1965_CAT_CONUS.zip
3917172,0.91,3.44,3.7,5.65,8.61,13.02,17.98,16.73,13.9,11.22,4.25,-1,TAV1965_CAT_CONUS.zip
3917176,0.93,3.6,3.97,6.02,8.92,13.29,18.17,16.9,13.96,11.31,4.45,-0.78,TAV1965_CAT_CONUS.zip
3917178,0.98,3.67,3.51,5.43,8.5,12.9,18.06,16.69,14.01,11.11,4.11,-1.03,TAV1965_CAT_CONUS.zip
3917194,1.14,4.57,2.59,4.27,7.69,12.24,17.83,16.19,13.95,10.68,3.26,-1.49,TAV1965_CAT_CONUS.zip
3917198,1.18,3.49,5.73,8.24,10.85,15.26,19.6,18.43,14.18,12.23,5.71,0.03,TAV1965_CAT_CONUS.zip
3917200,1.49,3.79,6.22,8.68,11.42,15.78,20.25,19,14.74,12.57,6.09,0.31,TAV1965_CAT_CONUS.zip
3917212,0.94,3.55,4.28,6.41,9.26,13.59,18.28,17.06,13.88,11.43,4.61,-0.62,TAV1965_CAT_CONUS.zip
3917214,1.31,3.63,5.56,7.87,10.62,14.91,19.41,18.18,14.32,12.21,5.57,0.02,TAV1965_CAT_CONUS.zip
3917218,1.32,3.62,5.79,8.2,10.88,15.21,19.64,18.42,14.34,12.33,5.75,0.11,TAV1965_CAT_CONUS.zip
3917220,1.41,3.71,5.89,8.25,10.98,15.28,19.75,18.51,14.48,12.42,5.83,0.19,TAV1965_CAT_CONUS.zip
3917228,1.41,3.71,5.89,8.25,10.98,15.28,19.75,18.51,14.48,12.42,5.83,0.19,TAV1965_CAT_CONUS.zip
3917230,1.71,4.05,6.81,9.36,12.16,16.6,21.16,19.87,15.38,12.9,6.6,0.55,TAV1965_CAT_CONUS.zip
3917244,1.7,4.03,6.74,9.28,12.08,16.5,21.04,19.75,15.32,12.87,6.54,0.53,TAV1965_CAT_CONUS.zip
3917250,0.92,3.61,4.03,6.07,9.01,13.32,18.08,16.84,13.87,11.29,4.4,-0.73,TAV1965_CAT_CONUS.zip
3917256,1.41,3.71,5.89,8.25,10.98,15.28,19.75,18.51,14.48,12.42,5.83,0.19,TAV1965_CAT_CONUS.zip
3917268,1.41,3.71,5.89,8.25,10.98,15.28,19.75,18.51,14.48,12.42,5.83,0.19,TAV1965_CAT_CONUS.zip
3917272,0.98,3.52,4.36,6.48,9.34,13.63,18.3,17.09,13.88,11.48,4.64,-0.57,TAV1965_CAT_CONUS.zip
