COMID,CAT_PPT_JAN2015,CAT_PPT_FEB2015,CAT_PPT_MAR2015,CAT_PPT_APR2015,CAT_PPT_MAY2015,CAT_PPT_JUN2015,CAT_PPT_JUL2015,CAT_PPT_AUG2015,CAT_PPT_SEP2015,CAT_PPT_OCT2015,CAT_PPT_NOV2015,CAT_PPT_DEC2015,filename
3917070,30.42,207.26,57.68,42.28,117.76,10.06,30.9,8.62,4.43,27.94,78.39,364.16,PPT2015_CAT_CONUS.zip
3917072,30.45,205.49,57.28,41.75,119.34,9.99,29.91,8.61,4.57,27.08,77.63,360.08,PPT2015_CAT_CONUS.zip
3917082,33.24,228.51,63.72,45.75,129.48,8.36,29.52,12.85,5.03,30.5,83.1,400.56,PPT2015_CAT_CONUS.zip
3917084,31.98,215.68,59.44,44.88,126.72,8.57,30.83,11.17,4.7,29.7,81.03,383.44,PPT2015_CAT_CONUS.zip
3917106,31.82,207.41,58.49,40.96,123.3,8.43,28.88,12.1,4.84,28.43,72.99,358.36,PPT2015_CAT_CONUS.zip
3917114,30.31,173.48,48.49,33.09,104.52,9.17,28.93,8.34,4.03,24.99,59.07,291.48,PPT2015_CAT_CONUS.zip
3917130,28.89,156.65,44.78,30.83,108.72,8.83,27.97,8.9,4.24,22.81,52.74,260.36,PPT2015_CAT_CONUS.zip
3917136,29.69,185.06,53.46,35.43,117.39,8.39,28.12,12.16,4.79,27.13,59.88,314.03,PPT2015_CAT_CONUS.zip
3917138,26.22,142.93,42.9,26.2,106.07,8.48,27.19,10.85,4.46,23.88,39.24,232.57,PPT2015_CAT_CONUS.zip
3917154,30.41,193.25,53.89,38.47,113.76,9.65,29.55,8.53,4.36,26.32,70.55,333.99,PPT2015_CAT_CONUS.zip
3917156,29.58,161.96,46.17,28.43,93.7,9.8,28.17,7.09,3.86,22.94,51.49,260.05,PPT2015_CAT_CONUS.zip
3917158,29.72,129.82,36.37,16.3,62.12,9.02,26.28,3.94,2.91,18.45,35.84,188.57,PPT2015_CAT_CONUS.zip
3917160,29.46,139.5,39.07,19.07,56.72,8.74,27.17,3.88,2.73,19.79,39.61,188.62,PPT2015_CAT_CONUS.zip
3917162,28.59,138.7,40.35,24.55,95.89,9.25,26.93,7.81,4.07,20.5,41.06,215.5,PPT2015_CAT_CONUS.zip
3917164,29.09,144.45,40.97,21.59,68.53,9.54,28.34,4.85,3.3,20.7,39.91,204.61,PPT2015_CAT_CONUS.zip
3917172,29.74,170.07,47.92,30.14,90.73,9.8,29.01,6.48,3.87,23.46,55.46,270.56,PPT2015_CAT_CONUS.zip
3917176,29.99,139.8,39.59,21.56,79.86,9.73,26.77,5.81,3.77,19.81,37.34,200.58,PPT2015_CAT_CONUS.zip
3917178,29.62,139.58,39.9,22.72,86.48,9.82,26.76,6.72,4.17,20.02,38.39,206.36,PPT2015_CAT_CONUS.zip
3917194,26.58,140.99,42.02,28.2,111,9.39,26.87,11.03,5.85,21.79,42.83,231.5,PPT2015_CAT_CONUS.zip
3917198,28.7,126.77,35.47,14.78,54.95,8.45,25.74,3.56,2.73,17.66,32.66,178.17,PPT2015_CAT_CONUS.zip
3917200,27.01,122.5,33.79,11.97,44.35,7.88,24.85,2.68,2.54,16.21,28.27,162.78,PPT2015_CAT_CONUS.zip
3917230,22.68,99.67,27.74,7.63,34.66,7.17,24.67,1.53,1.56,15.01,17.65,128.56,PPT2015_CAT_CONUS.zip
3917244,23.4,102.99,28.66,7.89,34.18,7.31,24.68,1.76,1.56,15.13,19.35,132.98,PPT2015_CAT_CONUS.zip
3917912,29.44,148.51,42.79,24.5,87.54,9.76,27.44,6.77,3.71,21.66,43.54,230.6,PPT2015_CAT_CONUS.zip
3917914,25.83,141.08,44.14,26.67,110.57,8.6,27.34,12.59,4.79,24.43,37.79,240.2,PPT2015_CAT_CONUS.zip
3917916,27.41,146.04,42.73,28.21,110.18,8.84,27.1,10.14,4.79,22.35,44.17,236.86,PPT2015_CAT_CONUS.zip
3917918,29.93,134.82,38.11,18.7,68.86,9.4,26.62,4.61,3.3,19.19,35.95,192.4,PPT2015_CAT_CONUS.zip
3917920,29.57,129.24,36.21,16.1,61.03,8.94,26.24,3.9,2.87,18.32,35.42,187.15,PPT2015_CAT_CONUS.zip
3917946,23.68,106,27.49,8.09,35.44,7.26,24.43,1.11,1.42,13.66,18.86,137.4,PPT2015_CAT_CONUS.zip
3917948,26.53,120.73,33.17,11.21,41.08,7.75,24.77,2.48,2.47,15.75,27.19,158.71,PPT2015_CAT_CONUS.zip
3917950,24.5,112.74,30.55,9.27,36.04,7.61,24.55,2.25,2.06,15.68,22.9,144.47,PPT2015_CAT_CONUS.zip
