COMID,CAT_PPT_JAN1961,CAT_PPT_FEB1961,CAT_PPT_MAR1961,CAT_PPT_APR1961,CAT_PPT_MAY1961,CAT_PPT_JUN1961,CAT_PPT_JUL1961,CAT_PPT_AUG1961,CAT_PPT_SEP1961,CAT_PPT_OCT1961,CAT_PPT_NOV1961,CAT_PPT_DEC1961,filename
3917070,47.05,147.24,105.63,58.81,65.65,38.42,4.33,17.12,54.91,83.72,150.39,99.26,PPT1961_CAT_CONUS.zip
3917072,45.95,144.51,102.29,56.84,65.71,37.73,4.91,17.38,52.8,82.35,144.41,97.1,PPT1961_CAT_CONUS.zip
3917082,40.71,134.06,96.78,54.86,66.96,76.46,9.28,17.29,47.27,78.77,136.5,121.27,PPT1961_CAT_CONUS.zip
3917084,43.85,134.72,100.45,55.1,66.94,55.83,9.92,17.45,50.98,82.76,140.74,120.13,PPT1961_CAT_CONUS.zip
3917106,38.78,125.32,91.12,51.38,63.7,70.55,8.5,16.24,45.03,74.64,133.01,117.86,PPT1961_CAT_CONUS.zip
3917114,44.81,125.59,83.42,43.73,59.66,33.72,7.98,15.57,44.52,79.44,141.89,103.04,PPT1961_CAT_CONUS.zip
3917130,38.7,112.45,84.8,46.89,57.77,43.49,7.05,14.4,43.56,69.43,135.42,111.11,PPT1961_CAT_CONUS.zip
3917136,36.57,112.18,82,44.16,59.86,67.26,8.24,14.91,40.6,69.17,125.67,113.11,PPT1961_CAT_CONUS.zip
3917138,34.18,93.06,70.33,35.22,54.08,51.08,7.83,13,36.1,62.43,117.26,106.39,PPT1961_CAT_CONUS.zip
3917154,45.52,137.09,95.07,51.79,63.42,36.27,6.19,16.69,49.64,81.28,143.45,99.81,PPT1961_CAT_CONUS.zip
3917156,44.98,128.53,77.21,41.21,56.18,29.63,4.44,14.61,42.64,77.3,143.9,89,PPT1961_CAT_CONUS.zip
3917158,32.08,67.18,45.53,20.96,35.12,26.32,1.89,9,33.12,57.58,81.3,81.19,PPT1961_CAT_CONUS.zip
3917160,36.15,70.1,47.72,20.49,38.86,28.2,2.91,9.84,37.75,59.08,79.5,83.91,PPT1961_CAT_CONUS.zip
3917162,41.9,111.18,75.99,40.38,53.88,36.71,5.46,13.16,38.33,68.28,144.15,101.08,PPT1961_CAT_CONUS.zip
3917164,44.95,115.74,59.88,34.65,47.56,28.59,2.22,11.64,42.58,68.33,126.92,87.31,PPT1961_CAT_CONUS.zip
3917172,45.39,128.03,78.3,44.55,55.58,32.21,3.41,14.18,46.37,74.18,135.7,91.39,PPT1961_CAT_CONUS.zip
3917176,58.7,116.27,86.15,40.79,54.25,29.02,6.48,12.14,33.77,64.3,153.79,100.79,PPT1961_CAT_CONUS.zip
