COMID,CAT_RUN_JAN1945,CAT_RUN_FEB1945,CAT_RUN_MAR1945,CAT_RUN_APR1945,CAT_RUN_MAY1945,CAT_RUN_JUN1945,CAT_RUN_JUL1945,CAT_RUN_AUG1945,CAT_RUN_SEP1945,CAT_RUN_OCT1945,CAT_RUN_NOV1945,CAT_RUN_DEC1945,filename
3917070,33.43,80.86,59.69,33.61,62.78,28.28,14.17,7.39,3.61,6.47,29.3,48.2,RUN1945_CAT_CONUS.zip
3917072,29.33,79.34,59.29,30.52,57.64,25.87,12.96,6.74,3.31,6.36,31.36,51.54,RUN1945_CAT_CONUS.zip
3917082,39.9,81.16,60.8,34.55,88.92,40.23,20.8,10.32,5.08,7.4,29.79,41.02,RUN1945_CAT_CONUS.zip
3917084,46.37,83,59.35,37.16,81.47,36.94,18.88,9.57,4.69,7.03,35.26,40.96,RUN1945_CAT_CONUS.zip
3917106,35.31,75.29,55.4,30.72,82.14,37,19.06,9.5,4.67,7.31,29.47,41.74,RUN1945_CAT_CONUS.zip
3917114,30.32,70.47,46.6,28.42,59.75,26.67,13.46,6.95,3.4,6.02,22.88,37.79,RUN1945_CAT_CONUS.zip
3917130,29.21,67.49,46.02,26.78,63.69,28.37,14.28,7.34,3.59,6.73,26.91,41.71,RUN1945_CAT_CONUS.zip
3917136,30.89,67.63,47.77,25.39,75.81,34,17.5,8.73,4.27,7.73,34.73,44.83,RUN1945_CAT_CONUS.zip
3917138,25.65,56.28,35.84,18.32,61.6,27.36,13.9,7.08,3.42,7.52,41.12,47.68,RUN1945_CAT_CONUS.zip
3917154,30.11,76.03,54.41,29.87,58.81,26.35,13.24,6.86,3.36,6.24,28.22,46.05,RUN1945_CAT_CONUS.zip
3917156,15.44,64.42,43.44,22.46,47.86,21.01,10.52,5.46,2.67,5.56,14.24,41.51,RUN1945_CAT_CONUS.zip
3917158,0.71,6.42,2.47,1.57,16.1,5.22,2.62,1.33,0.66,4.63,2.56,22.29,RUN1945_CAT_CONUS.zip
3917160,0.71,20.75,10.34,5.54,20.52,7.44,3.73,1.88,0.93,4.55,2.64,30.92,RUN1945_CAT_CONUS.zip
3917162,18.99,63.62,41.22,24.37,56.22,24.81,12.45,6.4,3.13,6.44,17.62,39.93,RUN1945_CAT_CONUS.zip
3917164,2.49,46.5,29.98,15.65,37.01,15.62,7.81,3.97,1.95,4.8,3.4,46.39,RUN1945_CAT_CONUS.zip
3917172,14.36,61.42,42.84,22.39,46.83,20.48,10.25,5.28,2.59,5.49,15.27,48.61,RUN1945_CAT_CONUS.zip
3917176,24.24,75.89,48.72,29.77,57.13,25.28,12.62,6.44,3.15,7.14,21.37,53.06,RUN1945_CAT_CONUS.zip
3917178,17.94,70.08,43.04,30.25,54.89,24.29,12.18,6.24,3.05,6.56,14.08,42.02,RUN1945_CAT_CONUS.zip
3917194,48.04,101.46,62.74,44.78,84.16,38.25,19.42,9.83,4.77,12.09,53.91,62.67,RUN1945_CAT_CONUS.zip
3917198,0.72,6.01,2.21,1.39,11.99,3.18,1.59,0.81,0.39,4.47,2.41,19.48,RUN1945_CAT_CONUS.zip
3917200,0.7,4.69,1.46,0.99,7.87,1.16,0.57,0.31,0.13,4.19,2.14,12.82,RUN1945_CAT_CONUS.zip
3917230,0.71,2.45,0.61,0.37,5.77,0.15,0.05,0.01,0,3.82,1.88,2.4,RUN1945_CAT_CONUS.zip
3917244,0.71,2.76,0.67,0.39,5.83,0.16,0.06,0.02,0,3.82,1.84,2.54,RUN1945_CAT_CONUS.zip
3917912,12.43,60.5,38.7,20.54,45.59,19.88,9.95,5.16,2.53,5.44,9.97,37.25,RUN1945_CAT_CONUS.zip
3917914,24.89,62.6,38.15,19.57,61.39,26.95,14.04,6.97,3.4,13.28,41.98,55.13,RUN1945_CAT_CONUS.zip
3917916,29.89,70.27,45.96,29.57,68.86,30.87,15.59,7.95,3.86,7.92,37.06,48.33,RUN1945_CAT_CONUS.zip
3917918,9.7,37.76,22.79,13.71,34.24,14.11,7.05,3.59,1.76,5.61,10.01,38.34,RUN1945_CAT_CONUS.zip
3917920,0.71,6.19,2.35,1.5,15.43,4.88,2.45,1.24,0.61,4.58,2.53,21.45,RUN1945_CAT_CONUS.zip
3917946,0.75,2.47,0.97,0.47,5.46,0.14,0.07,0.02,0,3.52,1.9,2.57,RUN1945_CAT_CONUS.zip
3917948,0.7,3.6,0.91,0.7,6.48,0.47,0.22,0.13,0.04,4.03,2.07,9.06,RUN1945_CAT_CONUS.zip
3917950,0.7,3.02,0.6,0.47,5.88,0.18,0.07,0.04,0.01,3.98,1.96,5.22,RUN1945_CAT_CONUS.zip
